ID,Parameter_ID,Name,Description
GB175-n,GB175,0,n
GB175-,GB175,?,
GB232-,GB232,?,
SD401-y,SD401,0,y
SD401-,SD401,?,
SD401-n,SD401,1,n
GB238-,GB238,?,
GB075-n,GB075,2,n
GB075-y,GB075,3,y
SD321-y,SD321,0,y
SD321-,SD321,?,
SD321-n,SD321,1,n
GB114-n,GB114,2,n
GB114-y,GB114,3,y
SD224-3,SD224,3,3
GB320-,GB320,?,
GB242-,GB242,?,
R5204-n,R5204,0,n
R5204-y,R5204,1,y
GB502-2,GB502,2,2
GB502-,GB502,?,
GB214-,GB214,?,
GB181-n,GB181,0,n
GB181-y,GB181,2,y
GB181-,GB181,?,
GB084-n,GB084,2,n
GB503-y,GB503,0,y
GB503-,GB503,?,
GB503-n,GB503,1,n
GB089-n,GB089,2,n
GB089-y,GB089,3,y
R5208-n,R5208,0,n
R5208-y,R5208,1,y
GB096-y,GB096,2,y
GB096-,GB096,?,
GB096-n,GB096,3,n
R4311-n,R4311,0,n
R1112-n,R1112,0,n
R1112-y,R1112,1,y
R2507-n,R2507,0,n
R2507-,R2507,?,
GB517-y,GB517,0,y
GB517-n,GB517,1,n
GB210-,GB210,?,
GB221-n,GB221,0,n
GB221-,GB221,?,
GB221-y,GB221,1,y
GB115-y,GB115,2,y
GB115-n,GB115,3,n
GB512-y,GB512,0,y
GB512-,GB512,?,
GB512-n,GB512,1,n
GB152-y,GB152,2,y
GB152-n,GB152,3,n
GB268-n,GB268,0,n
GB268-y,GB268,1,y
GB134-y,GB134,2,y
GB134-,GB134,?,
GB169-n,GB169,0,n
SD319-,SD319,?,
GB182-n,GB182,0,n
GB182-,GB182,?,
GB315-,GB315,?,
GB103-n,GB103,2,n
GB103-y,GB103,3,y
GB237-,GB237,?,
GB023-y,GB023,2,y
GB023-,GB023,?,
R5212-n,R5212,0,n
R5212-y,R5212,1,y
GB247-n,GB247,0,n
GB247-,GB247,?,
GB026-n,GB026,2,n
SD394-y,SD394,0,y
SD394-,SD394,?,
GB094-y,GB094,2,y
GB094-n,GB094,3,n
GB064-y,GB064,2,y
GB064-n,GB064,3,n
GB308-,GB308,?,
GB085-,GB085,?,
SD369-n,SD369,0,n
R1105-y,R1105,0,y
GB093-n,GB093,2,n
GB093-y,GB093,3,y
GB090-y,GB090,2,y
GB090-n,GB090,3,n
GB151-n,GB151,2,n
GB151-y,GB151,3,y
GB122-y,GB122,2,y
GB122-n,GB122,3,n
GB217-n,GB217,0,n
GB217-,GB217,?,
GB092-n,GB092,2,n
GB092-y,GB092,3,y
GB204-y,GB204,2,y
GB204-,GB204,?,
GB204-n,GB204,5,n
GB305-,GB305,?,
GB097-n,GB097,2,n
GB097-,GB097,?,
GB104-n,GB104,2,n
GB104-y,GB104,3,y
GB143-n,GB143,0,n
GB143-y,GB143,1,y
R5203-n,R5203,0,n
R5203-y,R5203,1,y
R2601-y,R2601,0,y
R2601-n,R2601,1,n
GB259-n,GB259,0,n
GB259-,GB259,?,
GB259-y,GB259,3,y
GB034-n,GB034,2,n
GB248-n,GB248,0,n
GB248-,GB248,?,
GB296-n,GB296,2,n
GB296-,GB296,?,
GB250-y,GB250,2,y
GB250-n,GB250,3,n
SD295-y,SD295,0,y
SD295-,SD295,?,
SD295-n,SD295,1,n
GB168-y,GB168,0,y
GB168-n,GB168,1,n
R5205-n,R5205,0,n
GB022-n,GB022,2,n
GB022-,GB022,?,
SD393-,SD393,?,
GB207-n,GB207,0,n
GB207-,GB207,?,
GB207-y,GB207,1,y
R1204-n,R1204,0,n
R1204-y,R1204,1,y
R5202-y,R5202,2,y
R5202-n,R5202,1,n
R2702-y,R2702,0,y
R2702-n,R2702,1,n
GB191-n,GB191,0,n
GB036-y,GB036,2,y
GB036-,GB036,?,
GB036-n,GB036,3,n
GB171-,GB171,?,
GB171-y,GB171,3,y
GB091-n,GB091,2,n
GB091-y,GB091,4,y
GB516-0,GB516,0,0
GB516-2,GB516,2,2
GB516-1,GB516,1,1
GB516-3,GB516,3,3
GB059-y,GB059,2,y
GB059-n,GB059,3,n
GB213-,GB213,?,
R1106-n,R1106,0,n
GB079-n,GB079,2,n
GB079-y,GB079,3,y
R3103-,R3103,?,
GB043-n,GB043,2,n
GB148-n,GB148,2,n
GB312-,GB312,?,
GB226-,GB226,?,
GB087-n,GB087,2,n
GB087-y,GB087,3,y
GB160-y,GB160,2,y
GB160-n,GB160,4,n
R1203a-n,R1203a,0,n
R1203a-y,R1203a,1,y
GB326-,GB326,?,
