ID,Parameter_ID,Language_ID,Feature,Code_ID,Answer,Comment,Source,Possible_Values,Suggested_standardised_comments
1,GB014,abui1241-petle,Is there weight-sensitive suprasegmental prominence; suprasegmental prominence can be loudness; duration; pitch; i.e. stress or tone phenomena?,?,Not known,,,0:n;2:no data;1:y;3:?,
2,GB020,abui1241-petle,Are there definite or specific articles?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; Form same as demonstratives; Form same as pronoun; Definiteness marking is done by an element with another function such as numeral classifiers; Definiteness marking is very restricted
3,GB021,abui1241-petle,Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?,2,n,,,2:n;1: present;0: absent,Not mentioned; It exists but it is not obligatory; Same as numeral 'one'
4,GB022,abui1241-petle,Are there prenominal articles?,2,n,,,2:n;1: present;0: absent,Not mentioned; The definite article is prenominal; The indefinite article is prenominal; The definite article is a prefix; The indefinite article is a prefix
5,GB023,abui1241-petle,Are there postnominal articles?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; The definite article is postnominal; The indefinite article is postnominal; The definite article is a suffix; The indefinite article is a suffix
6,GB024,abui1241-petle,What is the order of numeral and noun in the NP?,2,N-Num,fu nuku [betel.nut one],needs-check,3: both.;2: N-Num;4:2;1: Num-N,Not mentioned; Mostly numeral-noun with a few exceptions; Mostly noun-numeral with a few exceptions; Either order occurs with any numeral
7,GB025,abui1241-petle,What is the order of demonstrative and noun in the NP?,3,both.,Both configurations are possible; depicticing either anaphoric or deictic referents. N DEM:anaphoric.DEM N:deictic,Kratochvil 2007: 62;needs-check,3: both.;1: Dem-N;4:3;5:2;2: N-Dem,Not mentioned; Different demonstratives take different orders; There is free variation; Demonstrative construction has a form both before and after the noun; Demonstrative are treated as suffixes; Demonstrative are treated as prefixes
8,GB026,abui1241-petle,Are there 'discontinuous noun phrases'?,2,n,,,2:n;1: present;0: absent,Not mentioned
9,GB027,abui1241-petle,Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned
10,GB028,abui1241-petle,Is there an inclusive/exclusive distinction?,2,y,,,0: absent;1: present;2:y,Not mentioned
11,GB029,abui1241-petle,Is there a minimal-augmented system?,0,n,,,0:n,
12,GB030,abui1241-petle,Is there a gender distinction in 3rd person pronouns (or demonstratives; if no 3rd person pronouns)?,2,n,,,2:n;1: present;0: absent,Not mentioned
13,GB031,abui1241-petle,Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned
14,GB032,abui1241-petle,Are 1st and 2nd persons conflated in any context?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; Same pronoun form covering both first and second person in some context; Person is marked on the verb and there is a context where first and second person are the same
15,GB033,abui1241-petle,Are 2nd and 3rd persons conflated in non-singular numbers?,0,n,,,0:n,
16,GB034,abui1241-petle,Are person categories neutralized under some conditions?,2,n,,,2:n;1: present;0: absent,Not mentioned; Under negation; In a certain TAM context; Unclear whether the verb form counts as finite
17,GB035,abui1241-petle,Is there an opposition between three or more distance terms in the demonstrative system?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The distinction is distance from speaker versus hearer
18,GB036,abui1241-petle,Is elevation morphologically marked in demonstratives?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
19,GB037,abui1241-petle,Is the opposition visible-non-visible marked on demonstratives?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned
20,GB038,abui1241-petle,Are there demonstrative classifiers?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The demonstrative classifier system is the same as another classifier system; Demonstratives agree with what is treated as noun classes
21,GB039,abui1241-petle,Are there declensions (partly) determined by number of the noun?,2,n,,,2:n;1: present;0: absent,Not mentioned; There are different forms for marking number depending on the noun class; There are different forms for marking number which seem to be phonologically conditioned; The markers are adjacentbut not treated as bound
22,GB040,abui1241-petle,Are there declensions (partly) determined by gender of the noun?,?,Not known,,,0:n,
23,GB041,abui1241-petle,Are there nouns which are suppletive for number?,2,n,,,2:n;1: present;0: absent,Not mentioned
24,GB042,abui1241-petle,Can singular number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
25,GB043,abui1241-petle,Can dual number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
26,GB044,abui1241-petle,Can plural number be marked on the noun itself?,2,n,plural word 'loku'. Moku loku 'children',,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
27,GB045,abui1241-petle,Is number marking prohibited on certain (types of) nouns?,?,Not known,,,0:n;1:y;2:?,
28,GB046,abui1241-petle,Are there associative plurals?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned
29,GB047,abui1241-petle,Is there a productive morphologically marked Action/state nominalization (arrive/arrival)?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound; The marker is also a noun
30,GB048,abui1241-petle,Is there a productive morphologically marked Agentive nominalization (sing-er)?,2,n,loku : PL The plural marker nominalizes VP; e.g. firai 'run'; firai loku 'runners',,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound; The marker means 'person' or similar
31,GB049,abui1241-petle,Is there a productive morphologically marked Object nominalization (sing; song)?,2,n,gereja he-ì [church put] some nominalizations exist; but they seem to be lexicalized and the process does not seem to be productive,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound; The marker means 'thing' or similar
32,GB050,abui1241-petle,Are there noun classes/genders?,1,n,there are classifiers; but we do not consider them to be gender/noun classes distinction,Kratochvil (2007:164),1:n;0:y;2:?,
33,GB051,abui1241-petle,Is sex a relevant category in any noun class/gender system?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; Nouns have semantic classification but the markers are not morphologically bound and are flexible; There is extensive classification but only to parts of the lexicon
34,GB052,abui1241-petle,Is shape a relevant category in any noun class/gender system?,?,Not known,,,3:n;1: present;2:y;0: absent,Not mentioned; Nouns have semantic classification but the markers are not morphologically bound and are flexible; There is extensive classification but only to parts of the lexicon
35,GB053,abui1241-petle,Is animacy (without reference to sex) a relevant category in any noun class/gender system?,?,Not known,,,3:n;1: present;2:y;0: absent,Not mentioned; Nouns have semantic classification but the markers are not morphologically bound and are flexible; There is extensive classification but only to parts of the lexicon
36,GB054,abui1241-petle,Is plant status a relevant category in any noun class/gender system?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; Nouns have semantic classification but the markers are not morphologically bound and are flexible; There is extensive classification but only to parts of the lexicon
37,GB055,abui1241-petle,Does the language only have a gender distinction in 3rd person pronouns?,?,Not known,,,0:n,
38,GB056,abui1241-petle,Is there concord within the NP; i.e. agreement of elements within the NP with the noun class of a noun?,?,Not known,,,0:n;1:y,
39,GB057,abui1241-petle,Are there numeral classifiers?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; There are but they also have other functions such as classifying demonstratives; There are words with specific numeral meanings such as 'ten coconuts'; There are different numerals used with different nouns
40,GB058,abui1241-petle,Are there possessive classifiers?,2,n,,,2:n;1: present;0: absent,Not mentioned; There are but they also have other functions such as classifying demonstratives; There are words with specific possessive meaning such as 'my house'; The classifiers reflect properties of the possessor rather than the possessum
41,GB059,abui1241-petle,Is alienable/inalienable a relevant distinction?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned
42,GB060,abui1241-petle,Are there different possessive constructions?,0,y,some body parts are inalienably possessed.,,1:n;0:y,
43,GB061,abui1241-petle,Can possession be marked by a prefix?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
44,GB062,abui1241-petle,Can possession be marked by a suffix?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
45,GB063,abui1241-petle,Can possession be marked on the nominal possessor?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
46,GB064,abui1241-petle,Can possession be marked on the nominal possessee?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
47,GB065,abui1241-petle,What is the order of possessor and possessed in the attributive possessive construction?,1,Possessor-Possessed,,needs-check,5:1;2:Possessed-Possessor;4:both;1:Possessor-Possessed;6:3,Not mentioned; Pronouns use the opposite order
48,GB066,abui1241-petle,Are there different orders of elements in a possessive phrase for different classes of possession?,0,n,,,0:n;1:y,
49,GB067,abui1241-petle,What is the counting system?,2,decimal,,needs-check,1:1;0:2;2:decimal,
50,GB068,abui1241-petle,Do core adjectives (defined semantically as property concepts; value; shape; age; dimension) act like verbs in predicative position?,2,y,,own data,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Neither verbs nor adjectives receive marking; Some TAM and voice marking on verbs is not shared by adjectives
51,GB069,abui1241-petle,Do core adjectives (defined semantically as property concepts; value; shape; age; dimension) used attributively require the same morphological treatment as verbs?,2,y,I would argue for yes; because they can take the same morphology. However; one difference is that they do not require embedding in a relative clause with the linker ba,,3:n;1: present;2:y;0: absent,Not mentioned; Neither verbs nor adjectives receive marking; Some TAM and voice marking on verbs is not shared by adjectives
52,GB070,abui1241-petle,Is there case marking for core nominal NPs (i.e.; S; A or O function)?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the noun but not treated as morphologically bound
53,GB071,abui1241-petle,Is there case marking for core pronouns?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the noun but not treated as morphologically bound
54,GB072,abui1241-petle,Is there case marking for oblique nominal NPs?,2,n,,,2:n;1: present;0: absent,Not mentioned; The markers are adjacent to the noun but not treated as morphologically bound
55,GB073,abui1241-petle,Is there case marking for oblique pronouns?,2,n,,,2:n;1: present;0: absent,Not mentioned; The markers are adjacent to the noun but not treated as morphologically bound
56,GB074,abui1241-petle,Are there prepositions?,2,n,,,2:n;1: present;0: absent;4:y;3:?,Not mentioned; The markers are treated as bound to the noun; The adpositions are often also lexical nouns and verbs; Only one or very few
57,GB075,abui1241-petle,Are there postpositions?,2,n,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The markers are treated as bound to the noun; The adpositions are often also lexical nouns and verbs; Only one or very few
58,GB076,abui1241-petle,Are there adpositions to mark core NPs?,?,Not known,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The markers are treated as bound to the noun; The adpositions are often also lexical nouns and verbs
59,GB077,abui1241-petle,Are there adpositions to mark oblique NPs?,?,Not known,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; The markers are treated as bound to the noun; The adpositions are often also lexical nouns and verbs
60,GB078,abui1241-petle,Is there a distinction between locational and directional adpositions?,?,Not known,,,0:n;1:y;2:?,
61,GB079,abui1241-petle,Do verbs have prefixes/proclitics; other than those that ONLY mark A; S or O (do include portmanteau: A & S + TAM)?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound; Only one or very few
62,GB080,abui1241-petle,Do verbs have suffixes/enclitics; other than those that ONLY mark A; S or O (do include portmanteau: A & S + TAM)?,2,y,,Kratochvil (2007:110),0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound; Only one or very few
63,GB081,abui1241-petle,Can infixation be used on verbs for derivational; aspectual; or voice-changing purposes?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; It is a type of reduplication; Some other doubt about why it is an infix
64,GB082,abui1241-petle,Is there present tense regularly morphologically marked on the verb?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is described as non-past rather than specifically present; The marker conveys both tense and aspect; The markers are adjacent to the verb but not treated as morphologically bound
65,GB083,abui1241-petle,Is there past tense regularly morphologically marked on the verb?,2,n,,,2:n;1: present;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
66,GB084,abui1241-petle,Is there future tense regularly morphologically marked on the verb?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is described as conveying non-past rather than specifically future; The markers are adjacent to the verb but not treated as morphologically bound
67,GB085,abui1241-petle,Are there multiple past or future tenses; distinguishing distance from Time of Reference; marked on the verb?,?,Not known,,,0:n,
68,GB086,abui1241-petle,Is a distinction between punctual/continuous aspect available as a morphological choice?,2,y,,,3:n;1: present;2:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
69,GB087,abui1241-petle,Is a distinction between realis/irrealis mood available as a morphological choice?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound; It is called 'realis'/'irrealis' by the grammar
70,GB088,abui1241-petle,Is there an apprehensive modal category marked on the verb also known as 'evitative'; 'lest'; etc.?,2,n,,,2:n;1: present;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound; There is a marker but it has other functions
71,GB089,abui1241-petle,Is the S participant (at least sometimes) marked by a suffix/enclitic?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
72,GB090,abui1241-petle,Is the S participant (at least sometimes) marked by a prefix/proclitic?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
73,GB091,abui1241-petle,Is the A participant (at least sometimes) marked by a suffix/enclitic?,2,n,,,2:n;1: present;0: absent;4:y;3:?,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
74,GB092,abui1241-petle,Is the A participant (at least sometimes) marked by a prefix/proclitic?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The markers are adjacent to the verb but not treated as morphologically bound
