Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
GB014	abui1241	Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	?	Not known		nan	2:no data;3:?;1:y;0:n	
GB020	abui1241	Are there definite or specific articles?	2	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, Form same as demonstratives, Form same as pronoun, Definiteness marking is done by an element with another function such as numeral classifiers, Definiteness marking is very restricted
GB021	abui1241	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	2	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
GB022	abui1241	Are there prenominal articles?	2	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
GB023	abui1241	Are there postnominal articles?	2	y		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
GB024	abui1241	What is the order of numeral and noun in the NP?	4	2	fu nuku [betel.nut one]	nan	1: Num-N;3: both.;2: N-Num;4:2	Not mentioned, Mostly numeral-noun with a few exceptions, Mostly noun-numeral with a few exceptions, Either order occurs with any numeral
GB025	abui1241	What is the order of demonstrative and noun in the NP?	4	3	Both configurations are possible, depicticing either anaphoric or deictic referents. N DEM:anaphoric.DEM N:deictic	Kratochvil 2007: 62	3: both.;1: Dem-N;4:3;5:2;2: N-Dem	Not mentioned, Different demonstratives take different orders, There is free variation, Demonstrative construction has a form both before and after the noun, Demonstrative are treated as suffixes, Demonstrative are treated as prefixes
GB026	abui1241	Are there 'discontinuous noun phrases'?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB027	abui1241	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	2	y		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
GB028	abui1241	Is there an inclusive/exclusive distinction?	2	y		nan	1: present;2:y;0: absent	Not mentioned
GB029	abui1241	Is there a minimal-augmented system?	0	n		nan	0:n	
GB030	abui1241	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB031	abui1241	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	2	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned
GB032	abui1241	Are 1st and 2nd persons conflated in any context?	2	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Same pronoun form covering both first and second person in some context, Person is marked on the verb and there is a context where first and second person are the same
GB033	abui1241	Are 2nd and 3rd persons conflated in non-singular numbers?	0	n		nan	0:n	
GB034	abui1241	Are person categories neutralized under some conditions?	2	n		nan	1: present;2:n;0: absent	Not mentioned, Under negation, In a certain TAM context, Unclear whether the verb form counts as finite
GB035	abui1241	Is there an opposition between three or more distance terms in the demonstrative system?	2	y		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The distinction is distance from speaker versus hearer
GB036	abui1241	Is elevation morphologically marked in demonstratives?	2	y		nan	4:?;0: absent;5:n/a;1: present;2:y;3:n	Not mentioned
