Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
adan1251	GB014	nan	0.0	n		nan	nan	nan
adan1251	GB020	nan	2.0	y		nan	nan	nan
adan1251	GB021	nan	2.0	n		nan	nan	nan
adan1251	GB022	nan	2.0	n		nan	nan	nan
adan1251	GB023	nan	2.0	y		nan	nan	nan
adan1251	GB024	nan	4.0	2		nan	nan	nan
adan1251	GB025	nan	5.0	2		nan	nan	nan
adan1251	GB026	nan	2.0	n		nan	nan	nan
adan1251	GB027	nan	2.0	y	NP coordination is marked with coordinator E 'and', while comitative is encoded in a svc containing the verb -ra 'be with'	Robinson and Haan 2014: 247, 277	nan	nan
adan1251	GB028	nan	2.0	y		nan	nan	nan
adan1251	GB029	nan	0.0	n		nan	nan	nan
adan1251	GB030	nan	2.0	n		nan	nan	nan
adan1251	GB031	nan	2.0	n		nan	nan	nan
adan1251	GB032	nan	2.0	n		nan	nan	nan
adan1251	GB033	nan	0.0	n		nan	nan	nan
adan1251	GB034	nan	2.0	n		nan	nan	nan
adan1251	GB035	nan	3.0	n		nan	nan	nan
adan1251	GB036	nan	2.0	y		nan	nan	nan
adan1251	GB037	nan	2.0	n		nan	nan	nan
adan1251	GB038	nan	2.0	n		nan	nan	nan
adan1251	GB039	nan	2.0	n		nan	nan	nan
adan1251	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
adan1251	GB041	nan	2.0	n		nan	nan	nan
adan1251	GB042	nan	2.0	n		nan	nan	nan
adan1251	GB043	nan	2.0	n		nan	nan	nan
adan1251	GB044	nan	2.0	n		nan	nan	nan
adan1251	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
adan1251	GB046	nan	2.0	y		nan	nan	nan
adan1251	GB047	nan	2.0	n		nan	nan	nan
adan1251	GB048	nan	2.0	n		nan	nan	nan
adan1251	GB049	nan	2.0	n		nan	nan	nan
adan1251	GB050	nan	1.0	n		nan	nan	nan
adan1251	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
adan1251	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
adan1251	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
adan1251	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
adan1251	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
adan1251	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
adan1251	GB057	nan	3.0	y		nan	nan	nan
adan1251	GB058	nan	2.0	n		nan	nan	nan
adan1251	GB059	nan	2.0	y		nan	nan	nan
adan1251	GB060	nan	0.0	y		nan	nan	nan
adan1251	GB061	nan	2.0	y		nan	nan	nan
adan1251	GB062	nan	2.0	n		nan	nan	nan
adan1251	GB063	nan	2.0	n		nan	nan	nan
adan1251	GB064	nan	2.0	y		nan	nan	nan
adan1251	GB065	nan	5.0	1		nan	nan	nan
adan1251	GB066	nan	0.0	n		nan	nan	nan
adan1251	GB067	nan	1.0	1		nan	nan	nan
adan1251	GB068	nan	2.0	y		nan	nan	nan
adan1251	GB069	nan	2.0	y		nan	nan	nan
adan1251	GB070	nan	2.0	n		nan	nan	nan
adan1251	GB071	nan	2.0	n		nan	nan	nan
adan1251	GB072	nan	2.0	n		nan	nan	nan
adan1251	GB073	nan	2.0	n		nan	nan	nan
adan1251	GB074	nan	2.0	n		nan	nan	nan
