Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
GB014	adon1237	Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	0	n		nan	2:no data;3:?;1:y;0:n	
GB020	adon1237	Are there definite or specific articles?	3	n		nan	1: present;2:y;3:n;0: absent	Not mentioned, Form same as demonstratives, Form same as pronoun, Definiteness marking is done by an element with another function such as numeral classifiers, Definiteness marking is very restricted
GB021	adon1237	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	3	n/a		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
GB022	adon1237	Are there prenominal articles?	3	n/a		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
GB023	adon1237	Are there postnominal articles?	4	n/a		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
GB024	adon1237	What is the order of numeral and noun in the NP?	4	2		nan	1: Num-N;3: both.;2: N-Num;4:2	Not mentioned, Mostly numeral-noun with a few exceptions, Mostly noun-numeral with a few exceptions, Either order occurs with any numeral
GB025	adon1237	What is the order of demonstrative and noun in the NP?	5	2		nan	3: both.;1: Dem-N;4:3;5:2;2: N-Dem	Not mentioned, Different demonstratives take different orders, There is free variation, Demonstrative construction has a form both before and after the noun, Demonstrative are treated as suffixes, Demonstrative are treated as prefixes
GB026	adon1237	Are there 'discontinuous noun phrases'?	2	n		nan	1: present;2:n;0: absent	Not mentioned
GB027	adon1237	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	3	n	John no'on Mary rai wule 'John and Mary went to market , John nai wule no'on Mary 'John went to market with Mary'.	Elvis Unwira p.c. 2016	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
GB028	adon1237	Is there an inclusive/exclusive distinction?	2	y		nan	1: present;2:y;0: absent	Not mentioned
