Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
blag1240	GB014	nan	1.0	y		Steinhauer 2014: 154-155	nan	nan
blag1240	GB020	nan	3.0	n		nan	nan	nan
blag1240	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
blag1240	GB022	Are there prenominal articles?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
blag1240	GB023	Are there postnominal articles?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
blag1240	GB024	nan	4.0	2		nan	nan	nan
blag1240	GB025	nan	5.0	2		nan	nan	nan
blag1240	GB026	nan	2.0	n		nan	nan	nan
blag1240	GB027	nan	5.0	?	no data	nan	nan	nan
blag1240	GB028	nan	2.0	y		nan	nan	nan
blag1240	GB029	nan	0.0	n		nan	nan	nan
blag1240	GB030	nan	2.0	n		nan	nan	nan
blag1240	GB031	nan	3.0	y	Pronouns based on -ole	Steinhauer 2014: 184	nan	nan
blag1240	GB032	nan	2.0	n		nan	nan	nan
blag1240	GB033	nan	0.0	n		nan	nan	nan
blag1240	GB034	nan	2.0	n		nan	nan	nan
blag1240	GB035	nan	2.0	y		nan	nan	nan
blag1240	GB036	nan	2.0	y		nan	nan	nan
blag1240	GB037	nan	3.0	y	vala '(the one) as was/is visible'	Steinhauer 2014: 181	nan	nan
blag1240	GB038	nan	2.0	n		nan	nan	nan
blag1240	GB039	nan	2.0	n		nan	nan	nan
blag1240	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
blag1240	GB041	nan	2.0	n		nan	nan	nan
blag1240	GB042	nan	2.0	n		nan	nan	nan
blag1240	GB043	nan	2.0	n		nan	nan	nan
blag1240	GB044	nan	2.0	n		nan	nan	nan
blag1240	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
blag1240	GB046	nan	3.0	n		nan	nan	nan
blag1240	GB047	nan	2.0	n		nan	nan	nan
blag1240	GB048	nan	2.0	n		nan	nan	nan
blag1240	GB049	nan	3.0	y	the suffix -angseems to do something reminiscent to object nominalization	Steinhauer 2014: 163	nan	nan
blag1240	GB050	nan	1.0	n		nan	nan	nan
blag1240	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
blag1240	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
blag1240	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
blag1240	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
blag1240	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
blag1240	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
blag1240	GB057	nan	2.0	n		nan	nan	nan
blag1240	GB058	nan	2.0	n		nan	nan	nan
blag1240	GB059	nan	2.0	y		nan	nan	nan
blag1240	GB060	nan	0.0	y		nan	nan	nan
blag1240	GB061	nan	2.0	y		nan	nan	nan
blag1240	GB062	nan	2.0	n		nan	nan	nan
blag1240	GB063	nan	2.0	n		nan	nan	nan
blag1240	GB064	nan	2.0	y		nan	nan	nan
blag1240	GB065	nan	5.0	1		nan	nan	nan
blag1240	GB066	nan	0.0	n		nan	nan	nan
blag1240	GB067	nan	1.0	1		nan	nan	nan
blag1240	GB068	nan	2.0	y		nan	nan	nan
blag1240	GB069	nan	3.0	n		nan	nan	nan
blag1240	GB070	nan	2.0	n		nan	nan	nan
blag1240	GB071	nan	2.0	n		nan	nan	nan
blag1240	GB072	nan	2.0	n		nan	nan	nan
blag1240	GB073	nan	2.0	n		nan	nan	nan
blag1240	GB074	nan	2.0	n		nan	nan	nan
blag1240	GB075	nan	3.0	y		nan	nan	nan
blag1240	GB076	nan	2.0	n		nan	nan	nan
blag1240	GB077	nan	3.0	y		nan	nan	nan
blag1240	GB078	nan	0.0	n		nan	nan	nan
blag1240	GB079	nan	2.0	n		nan	nan	nan
blag1240	GB080	nan	2.0	y		nan	nan	nan
blag1240	GB081	nan	2.0	n		nan	nan	nan
blag1240	GB082	nan	2.0	n		nan	nan	nan
blag1240	GB083	nan	2.0	n		nan	nan	nan
blag1240	GB084	nan	2.0	n		nan	nan	nan
blag1240	GB085	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	?	Not known		nan	0:n	nan
blag1240	GB086	nan	3.0	n		nan	nan	nan
blag1240	GB087	nan	2.0	n		nan	nan	nan
blag1240	GB088	nan	2.0	n		nan	nan	nan
blag1240	GB089	nan	2.0	n		nan	nan	nan
blag1240	GB090	nan	3.0	n		nan	nan	nan
blag1240	GB091	nan	2.0	n		nan	nan	nan
blag1240	GB092	nan	2.0	n		nan	nan	nan
blag1240	GB093	nan	2.0	n		nan	nan	nan
blag1240	GB094	nan	2.0	y		nan	nan	nan
blag1240	GB095	nan	3.0	y		nan	nan	nan
blag1240	GB096	nan	2.0	y		nan	nan	nan
blag1240	GB097	nan	2.0	n		nan	nan	nan
blag1240	GB098	nan	2.0	n		nan	nan	nan
blag1240	GB099	nan	2.0	n		nan	nan	nan
blag1240	GB100	nan	0.0	n		nan	nan	nan
blag1240	GB101	nan	0.0	n		nan	nan	nan
blag1240	GB102	nan	0.0	n		nan	nan	nan
blag1240	GB103	nan	3.0	y		Steinhauer 2014: 171	nan	nan
blag1240	GB104	nan	2.0	n		Steinhauer 2014: 212	nan	nan
blag1240	GB105	nan	2.0	y		nan	nan	nan
blag1240	GB106	nan	3.0	y		nan	nan	nan
blag1240	GB107	nan	2.0	n		nan	nan	nan
blag1240	GB108	nan	3.0	n		nan	nan	nan
blag1240	GB109	nan	2.0	n		nan	nan	nan
blag1240	GB110	nan	2.0	n		nan	nan	nan
blag1240	GB111	nan	3.0	n		nan	nan	nan
blag1240	GB112	nan	4.0	?	no data	nan	nan	nan
blag1240	GB113	nan	3.0	y		nan	nan	nan
blag1240	GB114	nan	5.0	?		nan	nan	nan
blag1240	GB115	nan	2.0	y	the pronominal prefix t- marks reciprocal on verbs. 	Steinhauer 2014: 192	nan	nan
blag1240	GB116	nan	3.0	y		nan	nan	nan
blag1240	GB117	nan	2.0	n		nan	nan	nan
blag1240	GB118	nan	2.0	y		nan	nan	nan
blag1240	GB119	nan	3.0	n	modal adverbs do exist	Steinhauer 2014: 273	nan	nan
blag1240	GB120	nan	3.0	n	aspectual adverbs exist	Steinhauer 2014: 273	nan	nan
blag1240	GB121	nan	2.0	n		nan	nan	nan
blag1240	GB122	nan	3.0	n	"Verbal compounds are rare.
put. down) 'not finish (a task/ job)'."	Steinhauer 2014: 164	nan	nan
blag1240	GB123	nan	3.0	n		nan	nan	nan
blag1240	GB124	nan	2.0	n		nan	nan	nan
blag1240	GB125	nan	3.0	y	Postpositions can be incorporated	Steinhauer 2014: 199	nan	nan
blag1240	GB126	nan	3.0	n		nan	nan	nan
blag1240	GB127	nan	3.0	n		nan	nan	nan
blag1240	GB128	nan	1.0	y	the verb -enang 'give' is the only ditransive root verb and has a number of unexpected or irregular forms in some persons. 	Steinhauer 2014: 169-170	nan	nan
blag1240	GB129	nan	2.0	n		nan	nan	nan
blag1240	GB130	nan	4.0	1		nan	nan	nan
blag1240	GB131	nan	2.0	n		nan	nan	nan
blag1240	GB132	nan	2.0	n		nan	nan	nan
blag1240	GB133	nan	2.0	y		nan	nan	nan
blag1240	GB134	nan	2.0	y	The only subordinate clauses discussed are relative clauses	nan	nan	nan
blag1240	GB135	nan	4.0	?	no data	nan	nan	nan
blag1240	GB136	nan	2.0	y		nan	nan	nan
blag1240	GB137	nan	2.0	y		nan	nan	nan
blag1240	GB138	nan	2.0	n		nan	nan	nan
blag1240	GB139	nan	2.0	y	prohibitive 'ake 'don't' is a loan from Lamaholot and is predicate initial	Steinhauer 2014: 175	nan	nan
blag1240	GB140	nan	3.0	y		nan	nan	nan
blag1240	GB141	nan	3.0	n		nan	nan	nan
blag1240	GB142	nan	2.0	y		nan	nan	nan
blag1240	GB143	nan	3.0	?	no data	nan	nan	nan
blag1240	GB144	nan	3.0	?	no data	nan	nan	nan
blag1240	GB145	nan	1.0	n		nan	nan	nan
blag1240	GB146	nan	3.0	n		nan	nan	nan
blag1240	GB147	nan	2.0	n		nan	nan	nan
blag1240	GB148	nan	2.0	n		nan	nan	nan
blag1240	GB149	nan	2.0	n		nan	nan	nan
blag1240	GB150	nan	3.0	n		nan	nan	nan
blag1240	GB151	nan	2.0	n		nan	nan	nan
blag1240	GB152	nan	3.0	n		nan	nan	nan
blag1240	GB153	nan	0.0	n		nan	nan	nan
blag1240	GB154	nan	1.0	n	That is, if analytic causatives with 'make' are not analysed as svcs.	Steinhauer 2014: 194	nan	nan
blag1240	GB155	nan	3.0	y		Steinhauer 2014: 194-195	nan	nan
blag1240	GB156	nan	2.0	n		nan	nan	nan
blag1240	GB157	nan	3.0	n		nan	nan	nan
blag1240	GB158	nan	2.0	y		nan	nan	nan
blag1240	GB159	nan	3.0	y		nan	nan	nan
blag1240	GB160	nan	2.0	y	numerals and adjectives have full reduplication, adjectives and deictics have (also) partial reduplication	Steinhauer 2014: 156 vv.	nan	nan
blag1240	GB162	nan	0.0	n		nan	nan	nan
blag1240	GB163	How many genders/noun classes are there?	?	Not known		nan	3:?;0:several;1:2;2:n	nan
blag1240	GB165	nan	2.0	n		nan	nan	nan
blag1240	GB166	nan	2.0	n		nan	nan	nan
blag1240	GB167	nan	2.0	n		nan	nan	nan
blag1240	GB168	nan	1.0	n		nan	nan	nan
blag1240	GB169	nan	0.0	n		nan	nan	nan
blag1240	GB170	Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
