Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
buna1278	GB014	nan	0.0	n		nan	nan	nan
buna1278	GB020	nan	2.0	y		p.79; 274, also used on clauses	nan	nan
buna1278	GB021	nan	2.0	n		see p.104; but not really obligatory	nan	nan
buna1278	GB022	nan	2.0	n		nan	nan	nan
buna1278	GB023	nan	2.0	y		p.79; 274, also in final position on clauses	nan	nan
buna1278	GB024	nan	4.0	2		p. 100	nan	nan
buna1278	GB025	nan	5.0	2		p. 100, p. 238 ff	nan	nan
buna1278	GB026	nan	2.0	n		nan	nan	nan
buna1278	GB027	nan	2.0	y		comitative, see p. 136-137; coordination of NP, see p.206-208: zero, /o/ 'AND', /halali/ '3DU'.	nan	nan
buna1278	GB028	nan	2.0	y		p. 90	nan	nan
buna1278	GB029	nan	0.0	n	p.19 argued fro ProtoTAP. AS: But it should be N here, since it is not synchronically present in Bunaq.	nan	nan	nan
buna1278	GB030	nan	2.0	n	Yes in Corbett's sense of gender there is. But not if you mean a sex-based contrast of masculine- feminine.	nan	nan	nan
buna1278	GB031	nan	3.0	y		p. 90	nan	nan
buna1278	GB032	nan	2.0	n		nan	nan	nan
buna1278	GB033	nan	0.0	n		nan	nan	nan
buna1278	GB034	nan	2.0	n		nan	nan	nan
buna1278	GB035	nan	3.0	n	p.98: only prox vs non-prox; there are other types of demonstratives/determiners	nan	nan	nan
buna1278	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
buna1278	GB037	nan	2.0	n		nan	nan	nan
buna1278	GB038	nan	2.0	n	"It depends what you mean by classified. There is the animate-inanimate ""gender"" contrast marked on demonstratives"	nan	nan	nan
buna1278	GB039	nan	2.0	n	"see p.117-118; p.197: Nouns are unmarked for number in Bunaq. Number may be optionally expressed through the use of items with quantificational meaning, specifying the amount of the
referent."	nan	nan	nan
buna1278	GB040	nan	0.0	n		nan	nan	nan
buna1278	GB041	nan	2.0	n		nan	nan	nan
buna1278	GB042	nan	2.0	n		nan	nan	nan
buna1278	GB043	nan	2.0	n		nan	nan	nan
buna1278	GB044	nan	2.0	n		nan	nan	nan
buna1278	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
buna1278	GB046	nan	2.0	y	There is an associative plural construction using the 3rd plural pronoun halaqi, see exs 59 and 60 on pg 196. 	nan	nan	nan
buna1278	GB047	nan	3.0	y	p.75: There is also a sizeable group of roots that may appear without derivation as either nouns or verbs (§3.4), p.89.	nan	nan	nan
buna1278	GB048	nan	2.0	n		nan	nan	nan
buna1278	GB049	nan	3.0	y	"see p.89: a. verbs denoting an event/state and a noun denoting the associated instrument, result or patient of that event, and;
b. verbs denoting an event/state and a noun denoting that same event/state."	nan	nan	nan
buna1278	GB050	nan	0.0	y	p.172-173ff: The Bunaq nominal classification system involves a two-way class distinction of ANIMATE versus INANIMATE noun class.	nan	nan	nan
buna1278	GB051	nan	2.0	n		nan	nan	nan
buna1278	GB052	nan	3.0	n		nan	nan	nan
buna1278	GB053	nan	2.0	y		nan	nan	nan
buna1278	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
buna1278	GB055	nan	0.0	n		nan	nan	nan
buna1278	GB056	nan	1.0	y	p.173: Noun class is a covert property of Bunaq nouns. It is reflected on two agreement targets, prefixes on verbs (§10.1) and determiners (§7.1)	nan	nan	nan
buna1278	GB057	nan	2.0	n		nan	nan	nan
buna1278	GB058	nan	2.0	n		nan	nan	nan
buna1278	GB059	nan	2.0	y		nan	nan	nan
buna1278	GB060	nan	0.0	y		p. 311 ff. There are restrictions on the post- and pre- posing of alienable possessor phrases headed by gie depending on the meaning they carry.	nan	nan
buna1278	GB061	nan	2.0	y		p.321ff on inalienable possession	nan	nan
buna1278	GB062	nan	2.0	n		nan	nan	nan
buna1278	GB063	nan	2.0	n		nan	nan	nan
buna1278	GB064	nan	2.0	y		nan	nan	nan
buna1278	GB065	nan	5.0	1		p. 314	nan	nan
buna1278	GB066	nan	1.0	y		nan	nan	nan
buna1278	GB067	nan	1.0	1		nan	nan	nan
buna1278	GB068	nan	2.0	y	p.83: There is no distinct adjective class in Bunaq. […] In Bunaq all verbs can occur attributively. That is, regardless of whether a verb is stative or active, monovalent or bivalent, it can occur modifying the head of an NP.	nan	nan	nan
buna1278	GB069	nan	2.0	y		nan	nan	nan
