Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
fata1247	GB014	nan	1.0	y		nan	nan	nan
fata1247	GB020	nan	3.0	n		p. 17	nan	nan
fata1247	GB021	nan	2.0	n		nan	nan	nan
fata1247	GB022	nan	2.0	n		nan	nan	nan
fata1247	GB023	nan	2.0	y		p. 17	nan	nan
fata1247	GB024	nan	4.0	2		nan	nan	nan
fata1247	GB025	nan	5.0	2		nan	nan	nan
fata1247	GB026	nan	2.0	n		nan	nan	nan
fata1247	GB027	nan	2.0	y		nan	nan	nan
fata1247	GB028	nan	2.0	y		nan	nan	nan
fata1247	GB029	nan	0.0	n		nan	nan	nan
fata1247	GB030	nan	2.0	n		nan	nan	nan
fata1247	GB031	nan	2.0	n		nan	nan	nan
fata1247	GB032	nan	3.0	y	the first and second person possessor pronoun precede the possessee without intervening possessor particle i	p. 28	nan	nan
fata1247	GB033	nan	0.0	n		nan	nan	nan
fata1247	GB034	nan	2.0	n		nan	nan	nan
fata1247	GB035	nan	2.0	y		nan	nan	nan
fata1247	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
fata1247	GB037	nan	2.0	n		nan	nan	nan
fata1247	GB038	nan	2.0	n		nan	nan	nan
fata1247	GB039	nan	2.0	n		nan	nan	nan
fata1247	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
fata1247	GB041	nan	2.0	n		nan	nan	nan
fata1247	GB042	nan	2.0	n		nan	nan	nan
fata1247	GB043	nan	2.0	n		nan	nan	nan
fata1247	GB044	nan	3.0	y	irregular plural forms take a suffix, normally plural is marked with a separate word 	Heston 2015:21-22	nan	nan
fata1247	GB045	nan	1.0	y	we do not consider plural word to be number marking on the nouns	nan	nan	nan
fata1247	GB046	nan	5.0	?	no data	nan	nan	nan
fata1247	GB047	nan	3.0	y	suffix -n	p. 22	nan	nan
fata1247	GB048	nan	2.0	n		nan	nan	nan
fata1247	GB049	nan	3.0	y	suffix -n	p. 22	nan	nan
