Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
kaer1234	GB014	nan	0.0	n		nan	nan	nan
kaer1234	GB020	nan	3.0	n		nan	nan	nan
kaer1234	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
kaer1234	GB022	Are there prenominal articles?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
kaer1234	GB023	Are there postnominal articles?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
kaer1234	GB024	nan	4.0	2		nan	nan	nan
kaer1234	GB025	nan	5.0	2		nan	nan	nan
kaer1234	GB026	nan	2.0	n		nan	nan	nan
kaer1234	GB027	nan	2.0	y		nan	nan	nan
kaer1234	GB028	nan	2.0	y		nan	nan	nan
kaer1234	GB029	nan	0.0	n		nan	nan	nan
kaer1234	GB030	nan	2.0	n		nan	nan	nan
kaer1234	GB031	nan	4.0	?		nan	nan	nan
kaer1234	GB032	nan	2.0	n		nan	nan	nan
kaer1234	GB033	nan	0.0	n		nan	nan	nan
kaer1234	GB034	nan	2.0	n		nan	nan	nan
kaer1234	GB035	nan	3.0	n		nan	nan	nan
kaer1234	GB036	nan	4.0	?	not known	nan	nan	nan
kaer1234	GB037	nan	4.0	?	not known	nan	nan	nan
kaer1234	GB038	nan	3.0	?	not known	nan	nan	nan
kaer1234	GB039	nan	2.0	n		nan	nan	nan
kaer1234	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
kaer1234	GB041	nan	2.0	n		nan	nan	nan
kaer1234	GB042	nan	2.0	n		nan	nan	nan
kaer1234	GB043	nan	2.0	n		nan	nan	nan
kaer1234	GB044	nan	2.0	n	Full reduplication is not marked on the noun itself	nan	nan	nan
kaer1234	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
kaer1234	GB046	nan	3.0	n		nan	nan	nan
kaer1234	GB047	nan	2.0	n		nan	nan	nan
kaer1234	GB048	nan	2.0	n		nan	nan	nan
kaer1234	GB049	nan	2.0	n		nan	nan	nan
kaer1234	GB050	nan	1.0	n		nan	nan	nan
kaer1234	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kaer1234	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kaer1234	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kaer1234	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kaer1234	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
kaer1234	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
kaer1234	GB057	nan	3.0	y		nan	nan	nan
kaer1234	GB058	nan	2.0	n		nan	nan	nan
kaer1234	GB059	nan	2.0	y		nan	nan	nan
kaer1234	GB060	nan	0.0	y		nan	nan	nan
kaer1234	GB061	nan	2.0	y		nan	nan	nan
kaer1234	GB062	nan	2.0	n		nan	nan	nan
kaer1234	GB063	nan	2.0	n		nan	nan	nan
kaer1234	GB064	nan	2.0	y		nan	nan	nan
kaer1234	GB065	nan	5.0	1		nan	nan	nan
kaer1234	GB066	nan	0.0	n		nan	nan	nan
kaer1234	GB067	nan	0.0	2		nan	nan	nan
kaer1234	GB068	nan	2.0	y		nan	nan	nan
kaer1234	GB069	nan	2.0	y		nan	nan	nan
kaer1234	GB070	nan	2.0	n		nan	nan	nan
kaer1234	GB071	nan	2.0	n		nan	nan	nan
kaer1234	GB072	nan	2.0	n		nan	nan	nan
kaer1234	GB073	nan	2.0	n		nan	nan	nan
kaer1234	GB074	nan	2.0	n		nan	nan	nan
kaer1234	GB075	nan	3.0	y	only one, mi.	nan	nan	nan
kaer1234	GB076	nan	2.0	n		nan	nan	nan
kaer1234	GB077	nan	3.0	y	mi marks the T in a 'give' construction	nan	nan	nan
kaer1234	GB078	nan	0.0	n		nan	nan	nan
kaer1234	GB079	nan	2.0	n		nan	nan	nan
kaer1234	GB080	nan	2.0	y		nan	nan	nan
kaer1234	GB081	nan	2.0	n		nan	nan	nan
kaer1234	GB082	nan	2.0	n		nan	nan	nan
kaer1234	GB083	nan	2.0	n		nan	nan	nan
kaer1234	GB084	nan	2.0	n		nan	nan	nan
kaer1234	GB085	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	?	Not known		nan	0:n	nan
kaer1234	GB086	nan	2.0	y		nan	nan	nan
kaer1234	GB087	nan	2.0	n		nan	nan	nan
kaer1234	GB088	nan	2.0	n		nan	nan	nan
kaer1234	GB089	nan	2.0	n		nan	nan	nan
kaer1234	GB090	nan	2.0	y		nan	nan	nan
kaer1234	GB091	nan	2.0	n		nan	nan	nan
kaer1234	GB092	nan	2.0	n		nan	nan	nan
kaer1234	GB093	nan	2.0	n		nan	nan	nan
kaer1234	GB094	nan	2.0	y		nan	nan	nan
kaer1234	GB095	Are variations in marking strategies of core participants based on TAM distinctions?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned
kaer1234	GB096	Are variations in marking strategies of core participants based on verb classes?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned
kaer1234	GB097	Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?	?	Not known		nan	4:?;3:no data;0: absent;1: present;2:n	Not mentioned
kaer1234	GB098	Are variations in marking strategies of core participants based on person distinctions?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned
kaer1234	GB099	nan	2.0	n		nan	nan	nan
kaer1234	GB100	nan	0.0	n		nan	nan	nan
kaer1234	GB101	nan	0.0	n		nan	nan	nan
kaer1234	GB102	nan	0.0	n		nan	nan	nan
kaer1234	GB103	nan	3.0	y		nan	nan	nan
kaer1234	GB104	nan	3.0	y		nan	nan	nan
kaer1234	GB105	nan	2.0	y		nan	nan	nan
kaer1234	GB106	nan	2.0	n		nan	nan	nan
kaer1234	GB107	nan	2.0	n		nan	nan	nan
kaer1234	GB108	nan	3.0	n		nan	nan	nan
kaer1234	GB109	nan	2.0	n		nan	nan	nan
kaer1234	GB110	nan	2.0	n		nan	nan	nan
kaer1234	GB111	nan	3.0	n		nan	nan	nan
kaer1234	GB112	nan	3.0	y		nan	nan	nan
kaer1234	GB113	nan	3.0	y	fossilized causative suffix -ng.	nan	nan	nan
kaer1234	GB114	nan	2.0	n		nan	nan	nan
kaer1234	GB115	nan	3.0	n		nan	nan	nan
kaer1234	GB116	nan	2.0	n		nan	nan	nan
kaer1234	GB117	nan	2.0	n		nan	nan	nan
kaer1234	GB118	nan	2.0	y		nan	nan	nan
kaer1234	GB119	nan	2.0	y		nan	nan	nan
kaer1234	GB120	nan	2.0	y		nan	nan	nan
kaer1234	GB121	nan	2.0	n		nan	nan	nan
kaer1234	GB122	nan	5.0	?	not known	nan	nan	nan
kaer1234	GB123	nan	3.0	n		nan	nan	nan
kaer1234	GB124	nan	2.0	n		nan	nan	nan
kaer1234	GB125	nan	2.0	n		nan	nan	nan
kaer1234	GB126	nan	2.0	y		nan	nan	nan
kaer1234	GB127	nan	2.0	y		nan	nan	nan
kaer1234	GB128	nan	1.0	y	-eng' is the only verb that ends in a velar nasal AND can also take a final suffix. (All the other verbs ending in /ng/ do not take suffixes. When -eng  takes such a suffix, /ng/ changes into /n/, ie. -eng > -en-o.	nan	nan	nan
kaer1234	GB129	nan	2.0	n		nan	nan	nan
kaer1234	GB130	nan	4.0	1		nan	nan	nan
kaer1234	GB131	nan	2.0	n		nan	nan	nan
kaer1234	GB132	nan	2.0	n		nan	nan	nan
kaer1234	GB133	nan	2.0	y		nan	nan	nan
kaer1234	GB134	nan	3.0	?	not known	nan	nan	nan
kaer1234	GB135	Do clausal objects occur in the same position as nominal objects?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
kaer1234	GB136	nan	2.0	y		nan	nan	nan
kaer1234	GB137	nan	2.0	y		nan	nan	nan
kaer1234	GB138	nan	2.0	n		nan	nan	nan
kaer1234	GB139	nan	2.0	y	Negative imperatives are expressed with aki ‘neg.imp’,	nan	nan	nan
kaer1234	GB140	nan	3.0	y		nan	nan	nan
kaer1234	GB141	nan	3.0	n		nan	nan	nan
kaer1234	GB142	nan	3.0	n		nan	nan	nan
kaer1234	GB143	nan	0.0	n		nan	nan	nan
kaer1234	GB144	nan	1.0	y		nan	nan	nan
kaer1234	GB145	nan	1.0	n		nan	nan	nan
kaer1234	GB146	nan	2.0	y	Kaera shows remnants of an alignment system where a non-controlling undergoer S is encoded like P, with a verbal prefix. 	nan	nan	nan
kaer1234	GB147	nan	2.0	n		nan	nan	nan
kaer1234	GB148	nan	2.0	n		nan	nan	nan
kaer1234	GB149	nan	2.0	n		nan	nan	nan
kaer1234	GB150	nan	3.0	n		nan	nan	nan
kaer1234	GB151	nan	2.0	n		nan	nan	nan
kaer1234	GB152	nan	3.0	n		nan	nan	nan
kaer1234	GB153	nan	0.0	n		nan	nan	nan
kaer1234	GB154	nan	0.0	y		nan	nan	nan
kaer1234	GB155	nan	3.0	y		nan	nan	nan
kaer1234	GB156	nan	2.0	n		nan	nan	nan
kaer1234	GB157	nan	3.0	n		nan	nan	nan
kaer1234	GB158	nan	2.0	y		nan	nan	nan
kaer1234	GB159	nan	3.0	y		nan	nan	nan
kaer1234	GB160	nan	5.0	?	not known	nan	nan	nan
kaer1234	GB162	nan	0.0	n		nan	nan	nan
kaer1234	GB163	How many genders/noun classes are there?	?	Not known		nan	3:?;0:several;1:2;2:n	nan
kaer1234	GB165	nan	2.0	n		nan	nan	nan
kaer1234	GB166	nan	2.0	n		nan	nan	nan
kaer1234	GB167	nan	2.0	n		nan	nan	nan
kaer1234	GB168	nan	1.0	n		nan	nan	nan
kaer1234	GB169	nan	0.0	n		nan	nan	nan
kaer1234	GB170	Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
kaer1234	GB171	Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
kaer1234	GB172	Can articles agree with the gender/noun class of the noun they modify?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement, It is not clear whether it is an article
kaer1234	GB173	Are noun class and number always marked by a portmanteau morpheme on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB174	Are noun class and number marked by a portmanteau morpheme on the noun in singular?	?	Not known		nan	0:n	nan
kaer1234	GB175	Are noun class and number marked by a portmanteau morpheme on the noun in plural?	?	Not known		nan	0:n	nan
kaer1234	GB176	Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?	?	Not known		nan	0:n	nan
kaer1234	GB177	nan	2.0	y		nan	nan	nan
kaer1234	GB178	Are there several different singular genders/noun classes that can have the same plural gender/noun class?	?	Not known		nan	0:n	nan
kaer1234	GB179	Are there genders/noun classes that cannot take number marking?	?	Not known		nan	0:n	nan
kaer1234	GB181	Is number marking obligatory on certain (types of) nouns?	?	Not known		nan	1:?;2:y;0:n	nan
kaer1234	GB182	Is number marking obligatory on animate nouns?	?	Not known		nan	1:?;0:n	nan
kaer1234	GB183	Is number marking obligatory on human nouns?	?	Not known		nan	1:?;0:n	nan
kaer1234	GB184	nan	2.0	n		nan	nan	nan
kaer1234	GB185	nan	2.0	n		nan	nan	nan
kaer1234	GB186	Can articles agree in number with the noun they modify?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the number of the noun is present but not called agreement, It is not clear whether it is an article
kaer1234	GB187	nan	2.0	n		nan	nan	nan
kaer1234	GB188	nan	2.0	n		nan	nan	nan
kaer1234	GB191	nan	0.0	n		nan	nan	nan
kaer1234	GB192	Are the noun's phonological properties relevant for any gender assignment?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, There is gender and it is possible that phonology influences assignment
kaer1234	GB193	nan	5.0	2		nan	nan	nan
kaer1234	GB194	nan	0.0	n		nan	nan	nan
kaer1234	GB195	Can a noun receive more than one noun class marker at the same time?	?	Not known		nan	0:n	nan
kaer1234	GB196	nan	2.0	n		nan	nan	nan
kaer1234	GB197	nan	2.0	n		nan	nan	nan
kaer1234	GB198	Can a numeral used attributively agree with any gender/noun class of the noun it modifies?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
kaer1234	GB199	Can verbs agree with the gender/noun class of the nominal object?	?	Not known		nan	1:y;0:n	nan
kaer1234	GB200	nan	0.0	y		nan	nan	nan
kaer1234	GB202	nan	0.0	n		nan	nan	nan
kaer1234	GB203	nan	5.0	2		nan	nan	nan
kaer1234	GB204	nan	3.0	?	not known 	nan	nan	nan
kaer1234	GB205	Is number marking prohibited on inanimate nouns?	?	Not known		nan	1:?;0:n	nan
kaer1234	GB206	Is number marking prohibited on mass nouns?	?	Not known		nan	1:?;0:n	nan
kaer1234	GB207	Is number marking optional on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
kaer1234	GB208	Can singular number be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB209	Can singular number be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB210	Can singular number be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB211	Can singular number be marked by tone alone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB212	Can dual number be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB213	Can dual number be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB214	Can dual number be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB215	Can dual number be marked by tone alone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB216	Can dual number be marked by reduplication on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB217	Can plural number be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB218	Can plural number be marked by a suffix on the noun?	?	Not known		nan	1:y;0:n	nan
kaer1234	GB219	Can plural number be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB220	Can plural number be marked by tone alone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB221	nan	1.0	y		nan	nan	nan
kaer1234	GB222	Can trial number be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB223	Can trial number be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB224	Can trial number be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB225	Can trial number be marked by tone alone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB226	Can trial number be marked by reduplication on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB227	Can paucal number be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB228	Can paucal number be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB229	Can paucal number be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB230	Can paucal number be marked by tone alone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB231	Can paucal number be marked by reduplication on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB232	Can diminutive be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB234	Can diminutive be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB235	Can diminutive be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB236	Can diminutive be marked by tone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB237	Can diminutive be marked by reduplication on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB238	Can diminutive be marked by noun class selection?	?	Not known		nan	0:n	nan
kaer1234	GB239	Can augmentative be marked by a prefix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB240	Can augmentative be marked by a suffix on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB241	Can augmentative be marked by suppletion on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB242	Can augmentative be marked by tone on the noun?	?	Not known		nan	0:n	nan
kaer1234	GB243	Can augmentative be marked by reduplication on the noun?	?	Not known		nan	0:n	nan
