Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
keda1252	GB014	nan	0.0	n		nan	nan	nan
keda1252	GB020	nan	3.0	n		nan	nan	nan
keda1252	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
keda1252	GB022	Are there prenominal articles?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
keda1252	GB023	Are there postnominal articles?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
keda1252	GB024	nan	4.0	2		Samely 1991: 151	nan	nan
keda1252	GB025	nan	5.0	2		nan	nan	nan
keda1252	GB026	nan	2.0	n		nan	nan	nan
keda1252	GB027	nan	3.0	n	(n)ore 'and, be with' 	Samely 1991: 155, 157; Samely and Barnes 2013: 492	nan	nan
keda1252	GB028	nan	2.0	y		nan	nan	nan
keda1252	GB029	nan	0.0	n		nan	nan	nan
keda1252	GB030	nan	2.0	n		nan	nan	nan
keda1252	GB031	nan	3.0	y	dual pronoun paradigm is formed on the basis of sue 'two' followed by glottal.stop-pronominal suffix	Samely 1991: 99	nan	nan
keda1252	GB032	nan	2.0	n		nan	nan	nan
keda1252	GB033	nan	0.0	n		nan	nan	nan
keda1252	GB034	nan	2.0	n		nan	nan	nan
keda1252	GB035	nan	3.0	n		nan	nan	nan
keda1252	GB036	nan	3.0	n		nan	nan	nan
keda1252	GB037	nan	2.0	n		nan	nan	nan
keda1252	GB038	nan	2.0	n		nan	nan	nan
keda1252	GB039	nan	2.0	n		nan	nan	nan
keda1252	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
keda1252	GB041	nan	2.0	n		nan	nan	nan
keda1252	GB042	nan	2.0	n		nan	nan	nan
keda1252	GB043	nan	2.0	n		nan	nan	nan
keda1252	GB044	nan	2.0	n		nan	nan	nan
keda1252	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
keda1252	GB046	nan	5.0	?		nan	nan	nan
keda1252	GB047	nan	3.0	y		nan	nan	nan
keda1252	GB048	nan	2.0	n	wala is a free form meaning 'lord, master, Sir' and is used to derive agent noun compounds (help > help wala 'helper', play > play wala 'player'. NB In Western Pantar, the word wala 'person' has a similar function (Holton 2015: 46, in Schapper ed.). Kedang also has ata 'person' and W Pantar also has aname 'person'). 	Samely 1991: 67	nan	nan
keda1252	GB049	nan	2.0	n		nan	nan	nan
keda1252	GB050	nan	1.0	n		nan	nan	nan
keda1252	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
keda1252	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
keda1252	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
keda1252	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
keda1252	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
keda1252	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
keda1252	GB057	nan	3.0	y		Samely 1991:96, 90 	nan	nan
keda1252	GB058	nan	2.0	n		nan	nan	nan
keda1252	GB059	nan	3.0	n		nan	nan	nan
keda1252	GB060	nan	1.0	n		nan	nan	nan
keda1252	GB061	nan	3.0	n		nan	nan	nan
keda1252	GB062	nan	2.0	n		nan	nan	nan
keda1252	GB063	nan	2.0	n		nan	nan	nan
keda1252	GB064	nan	3.0	n		nan	nan	nan
keda1252	GB065	nan	5.0	1		Samely 1991: 152	nan	nan
keda1252	GB066	nan	0.0	n		nan	nan	nan
keda1252	GB067	nan	1.0	1	leme >apaɁ '5 4' = 'nine'	Samely 1991: 96	nan	nan
keda1252	GB068	nan	2.0	y	they take subject enclitics, e.g. =ne '3sg'	Samely  1991: 84	nan	nan
keda1252	GB069	nan	3.0	n	they take a suffix -n when used attributively	Samely  1991: 84	nan	nan
keda1252	GB070	nan	2.0	n		nan	nan	nan
keda1252	GB071	nan	3.0	y		nan	nan	nan
keda1252	GB072	nan	2.0	n		nan	nan	nan
keda1252	GB073	nan	2.0	n		nan	nan	nan
keda1252	GB074	nan	4.0	y	e.g. bè 'general locative preposition'	Samely 1991: 116	nan	nan
keda1252	GB075	nan	2.0	n		nan	nan	nan
keda1252	GB076	nan	2.0	n		nan	nan	nan
keda1252	GB077	nan	3.0	y		nan	nan	nan
keda1252	GB078	nan	0.0	n	The preposition bè means 'in', 'at' 'on', 'towards' or 'to'	Samely 1991: 116	nan	nan
keda1252	GB079	nan	2.0	n		nan	nan	nan
keda1252	GB080	nan	3.0	n		nan	nan	nan
keda1252	GB081	nan	3.0	y	nominalizing infix -an-	Samely 1991: 66	nan	nan
keda1252	GB082	nan	2.0	n		nan	nan	nan
keda1252	GB083	nan	2.0	n		nan	nan	nan
keda1252	GB084	nan	2.0	n		nan	nan	nan
keda1252	GB085	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	?	Not known		nan	0:n	nan
keda1252	GB086	nan	3.0	n		nan	nan	nan
keda1252	GB087	nan	2.0	n		nan	nan	nan
keda1252	GB088	nan	2.0	n		nan	nan	nan
keda1252	GB089	nan	3.0	y		nan	nan	nan
keda1252	GB090	nan	3.0	n	if preverbal, it is a free form	Samely 1991: 71-74	nan	nan
keda1252	GB091	nan	4.0	y		Samely 1991: 71, example (5) and (6)	nan	nan
keda1252	GB092	nan	2.0	n		nan	nan	nan
keda1252	GB093	nan	3.0	y		nan	nan	nan
keda1252	GB094	nan	3.0	n		nan	nan	nan
keda1252	GB095	nan	3.0	y		nan	nan	nan
keda1252	GB096	nan	3.0	n		nan	nan	nan
keda1252	GB097	nan	2.0	n		nan	nan	nan
keda1252	GB098	nan	2.0	n		nan	nan	nan
keda1252	GB099	nan	2.0	n		nan	nan	nan
keda1252	GB100	nan	0.0	n		nan	nan	nan
keda1252	GB101	nan	0.0	n		nan	nan	nan
keda1252	GB102	nan	0.0	n		nan	nan	nan
keda1252	GB103	nan	2.0	n		nan	nan	nan
keda1252	GB104	nan	2.0	n		nan	nan	nan
keda1252	GB105	nan	3.0	n		nan	nan	nan
keda1252	GB106	nan	3.0	y		Samely 1991: 71 ex (7)	nan	nan
keda1252	GB107	nan	2.0	n		nan	nan	nan
keda1252	GB108	nan	3.0	n		nan	nan	nan
keda1252	GB109	nan	2.0	n		nan	nan	nan
keda1252	GB110	nan	2.0	n		nan	nan	nan
keda1252	GB111	nan	2.0	y		nan	nan	nan
keda1252	GB112	nan	3.0	y		nan	nan	nan
keda1252	GB113	nan	2.0	n		nan	nan	nan
keda1252	GB114	nan	2.0	n	wèɁ 'body' used to form reflexive verbs e.g.  leave each other, hide each other, hand each other, surrender oneself	Samely 1991	nan	nan
keda1252	GB115	nan	3.0	n	wèɁ 'body' used to form reflexive verbs e.g.  leave each other, hide each other, hand each other, surrender oneself	nan	nan	nan
keda1252	GB116	nan	2.0	n		nan	nan	nan
keda1252	GB117	nan	2.0	n		nan	nan	nan
keda1252	GB118	nan	2.0	y		nan	nan	nan
keda1252	GB119	nan	2.0	y		nan	nan	nan
keda1252	GB120	nan	2.0	y		nan	nan	nan
keda1252	GB121	nan	3.0	y		nan	nan	nan
keda1252	GB122	nan	2.0	y		Samely 1991: 108	nan	nan
keda1252	GB123	nan	3.0	n		nan	nan	nan
keda1252	GB124	nan	2.0	n		nan	nan	nan
keda1252	GB125	nan	2.0	n		nan	nan	nan
keda1252	GB126	nan	2.0	y	nore 'there is/are'	Samely 1991: 84, 186	nan	nan
keda1252	GB127	nan	3.0	n		nan	nan	nan
keda1252	GB128	nan	0.0	n		nan	nan	nan
keda1252	GB129	nan	2.0	n		nan	nan	nan
keda1252	GB130	nan	4.0	1		nan	nan	nan
keda1252	GB131	nan	2.0	n		nan	nan	nan
keda1252	GB132	nan	3.0	y		nan	nan	nan
keda1252	GB133	nan	3.0	n		nan	nan	nan
keda1252	GB134	nan	2.0	y		Samely 1991: 73 ex (20)	nan	nan
keda1252	GB135	nan	2.0	y	quotes follow hoing  'tell s.o.', thoughts follow kèlèn  'to think' 	Samely 1991: 158, 74	nan	nan
keda1252	GB136	nan	2.0	y		nan	nan	nan
keda1252	GB137	nan	3.0	n		nan	nan	nan
keda1252	GB138	nan	2.0	n		nan	nan	nan
keda1252	GB139	nan	2.0	y	prohibitive kora	Samely 1991: 77	nan	nan
keda1252	GB140	nan	3.0	y	declarative ohaɁ negates verbal and nominal predicates	Samely 1991: 74, 77	nan	nan
keda1252	GB141	nan	2.0	y		nan	nan	nan
keda1252	GB142	nan	2.0	y		nan	nan	nan
keda1252	GB143	nan	0.0	n		nan	nan	nan
keda1252	GB144	nan	0.0	n		nan	nan	nan
keda1252	GB145	nan	1.0	n		nan	nan	nan
keda1252	GB146	nan	3.0	n		nan	nan	nan
keda1252	GB147	nan	2.0	n		nan	nan	nan
keda1252	GB148	nan	2.0	n		nan	nan	nan
keda1252	GB149	nan	2.0	n		nan	nan	nan
keda1252	GB150	nan	3.0	n		nan	nan	nan
keda1252	GB151	nan	2.0	n		nan	nan	nan
keda1252	GB152	nan	3.0	n		nan	nan	nan
keda1252	GB153	nan	0.0	n	laha 'do, make' and 'want, wish' (tele 'say')	Samely 1991: 71, 224	nan	nan
keda1252	GB154	nan	0.0	y		nan	nan	nan
keda1252	GB155	nan	2.0	n		nan	nan	nan
keda1252	GB156	nan	2.0	n		nan	nan	nan
keda1252	GB157	nan	6.0	?		nan	nan	nan
keda1252	GB158	nan	3.0	n		nan	nan	nan
keda1252	GB159	nan	2.0	n		nan	nan	nan
keda1252	GB160	nan	2.0	y	adjectives in superlative construction are reduplicated: wetaq haraka ria-ria neɁe 'house a.litt.e big big 3sg.POSS' 'the biggest house' 	nan	nan	nan
keda1252	GB162	nan	0.0	n		nan	nan	nan
keda1252	GB163	How many genders/noun classes are there?	?	Not known		nan	3:?;0:several;1:2;2:n	nan
keda1252	GB165	nan	2.0	n		nan	nan	nan
keda1252	GB166	nan	2.0	n		nan	nan	nan
keda1252	GB167	nan	2.0	n		nan	nan	nan
keda1252	GB168	nan	1.0	n		nan	nan	nan
keda1252	GB169	nan	0.0	n		nan	nan	nan
keda1252	GB170	Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
keda1252	GB171	Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement
keda1252	GB172	Can articles agree with the gender/noun class of the noun they modify?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement, It is not clear whether it is an article
keda1252	GB173	Are noun class and number always marked by a portmanteau morpheme on the noun?	?	Not known		nan	0:n	nan
keda1252	GB174	Are noun class and number marked by a portmanteau morpheme on the noun in singular?	?	Not known		nan	0:n	nan
keda1252	GB175	Are noun class and number marked by a portmanteau morpheme on the noun in plural?	?	Not known		nan	0:n	nan
keda1252	GB176	Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?	?	Not known		nan	0:n	nan
keda1252	GB177	nan	3.0	n		nan	nan	nan
keda1252	GB178	Are there several different singular genders/noun classes that can have the same plural gender/noun class?	?	Not known		nan	0:n	nan
keda1252	GB179	Are there genders/noun classes that cannot take number marking?	?	Not known		nan	0:n	nan
keda1252	GB181	Is number marking obligatory on certain (types of) nouns?	?	Not known		nan	1:?;2:y;0:n	nan
keda1252	GB182	Is number marking obligatory on animate nouns?	?	Not known		nan	1:?;0:n	nan
keda1252	GB183	Is number marking obligatory on human nouns?	?	Not known		nan	1:?;0:n	nan
keda1252	GB184	nan	2.0	n		nan	nan	nan
keda1252	GB185	nan	2.0	n		nan	nan	nan
keda1252	GB186	Can articles agree in number with the noun they modify?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, An additional marker dependent on the number of the noun is present but not called agreement, It is not clear whether it is an article
keda1252	GB187	nan	2.0	n		nan	nan	nan
keda1252	GB188	nan	2.0	n		nan	nan	nan
keda1252	GB191	nan	0.0	n		nan	nan	nan
