Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
kelo1247	GB014	nan	1.0	y		nan	nan	nan
kelo1247	GB020	nan	3.0	n		nan	nan	nan
kelo1247	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
kelo1247	GB022	Are there prenominal articles?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
kelo1247	GB023	Are there postnominal articles?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
kelo1247	GB024	nan	4.0	2		nan	nan	nan
kelo1247	GB025	nan	5.0	2		nan	nan	nan
kelo1247	GB026	nan	2.0	n		nan	nan	nan
kelo1247	GB027	nan	2.0	y	no NP coordinating element, comitative marked as object prefix on verb. 	nan	nan	nan
kelo1247	GB028	nan	2.0	y		nan	nan	nan
kelo1247	GB029	nan	0.0	n		nan	nan	nan
kelo1247	GB030	nan	2.0	n		nan	nan	nan
kelo1247	GB031	nan	3.0	y		nan	nan	nan
kelo1247	GB032	nan	2.0	n		nan	nan	nan
kelo1247	GB033	nan	0.0	n		nan	nan	nan
kelo1247	GB034	nan	2.0	n		nan	nan	nan
kelo1247	GB035	nan	3.0	n		nan	nan	nan
kelo1247	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
kelo1247	GB037	nan	2.0	n		nan	nan	nan
kelo1247	GB038	nan	2.0	n		nan	nan	nan
kelo1247	GB039	nan	2.0	n		nan	nan	nan
kelo1247	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
kelo1247	GB041	nan	2.0	n		nan	nan	nan
kelo1247	GB042	nan	2.0	n		nan	nan	nan
kelo1247	GB043	nan	2.0	n		nan	nan	nan
kelo1247	GB044	nan	2.0	n	plural is marked with plural number word	nan	nan	nan
kelo1247	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
kelo1247	GB046	nan	2.0	y	Baird 2008: 83	nan	nan	nan
kelo1247	GB047	nan	2.0	n		nan	nan	nan
kelo1247	GB048	nan	3.0	y	By partial reduplication, verbs can be nominalised	nan	nan	nan
kelo1247	GB049	nan	3.0	y	By partial reduplication, verbs can be nominalised	nan	nan	nan
kelo1247	GB050	nan	1.0	n		nan	nan	nan
kelo1247	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kelo1247	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kelo1247	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kelo1247	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
kelo1247	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
kelo1247	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
kelo1247	GB057	nan	3.0	y		nan	nan	nan
kelo1247	GB058	nan	2.0	n		nan	nan	nan
kelo1247	GB059	nan	2.0	y		nan	nan	nan
kelo1247	GB060	nan	1.0	n		nan	nan	nan
kelo1247	GB061	nan	2.0	y		nan	nan	nan
kelo1247	GB062	nan	2.0	n		nan	nan	nan
kelo1247	GB063	nan	2.0	n		nan	nan	nan
kelo1247	GB064	nan	2.0	y		nan	nan	nan
kelo1247	GB065	nan	5.0	1		nan	nan	nan
kelo1247	GB066	nan	0.0	n		nan	nan	nan
kelo1247	GB067	nan	1.0	1		nan	nan	nan
kelo1247	GB068	nan	2.0	y		nan	nan	nan
kelo1247	GB069	nan	2.0	y		nan	nan	nan
kelo1247	GB070	nan	2.0	n		nan	nan	nan
kelo1247	GB071	nan	3.0	y		nan	nan	nan
kelo1247	GB072	nan	2.0	n		nan	nan	nan
kelo1247	GB073	nan	2.0	n		nan	nan	nan
kelo1247	GB074	nan	2.0	n		nan	nan	nan
kelo1247	GB075	nan	2.0	n		nan	nan	nan
kelo1247	GB076	Are there adpositions to mark core NPs?	?	Not known		nan	4:?;3:y;1: present;0: absent;2:n	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs
kelo1247	GB077	Are there adpositions to mark oblique NPs?	?	Not known		nan	4:?;3:y;1: present;0: absent;2:n	Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs
kelo1247	GB078	Is there a distinction between locational and directional adpositions?	?	Not known		nan	2:?;1:y;0:n	nan
kelo1247	GB079	nan	3.0	y		nan	nan	nan
kelo1247	GB080	nan	3.0	n		nan	nan	nan
kelo1247	GB081	nan	2.0	n		nan	nan	nan
kelo1247	GB082	nan	2.0	n		nan	nan	nan
kelo1247	GB083	nan	2.0	n		nan	nan	nan
kelo1247	GB084	nan	2.0	n		nan	nan	nan
kelo1247	GB085	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	?	Not known		nan	0:n	nan
kelo1247	GB086	nan	3.0	n		nan	nan	nan
kelo1247	GB087	nan	2.0	n		nan	nan	nan
kelo1247	GB088	nan	2.0	n		nan	nan	nan
kelo1247	GB089	nan	2.0	n		nan	nan	nan
kelo1247	GB090	nan	2.0	y		nan	nan	nan
kelo1247	GB091	nan	2.0	n		nan	nan	nan
kelo1247	GB092	nan	2.0	n		nan	nan	nan
kelo1247	GB093	nan	2.0	n		nan	nan	nan
kelo1247	GB094	nan	2.0	y		nan	nan	nan
kelo1247	GB095	nan	2.0	n		nan	nan	nan
kelo1247	GB096	nan	3.0	n		nan	nan	nan
kelo1247	GB097	nan	2.0	n		nan	nan	nan
kelo1247	GB098	nan	2.0	n		nan	nan	nan
kelo1247	GB099	nan	2.0	n		nan	nan	nan
kelo1247	GB100	nan	0.0	n		nan	nan	nan
kelo1247	GB101	nan	0.0	n		nan	nan	nan
kelo1247	GB102	nan	0.0	n		nan	nan	nan
kelo1247	GB103	nan	3.0	y		nan	nan	nan
kelo1247	GB104	nan	2.0	n		nan	nan	nan
kelo1247	GB105	nan	2.0	y		nan	nan	nan
kelo1247	GB106	nan	3.0	y	not entirely sure	nan	nan	nan
kelo1247	GB107	nan	2.0	n		nan	nan	nan
kelo1247	GB108	nan	3.0	n	not entirely sure	nan	nan	nan
kelo1247	GB109	nan	2.0	n		nan	nan	nan
