Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
kula1280	GB014	nan	3.0	?		nan	nan	nan
kula1280	GB020	nan	2.0	y	an item referred to as 'definite marker' = nga encodes definitess	nan	nan	nan
kula1280	GB021	nan	2.0	n		nan	nan	nan
kula1280	GB022	nan	2.0	n		nan	nan	nan
kula1280	GB023	nan	2.0	y		nan	nan	nan
kula1280	GB024	nan	4.0	2		nan	nan	nan
kula1280	GB025	nan	5.0	2		nan	nan	nan
kula1280	GB026	nan	2.0	n		nan	nan	nan
kula1280	GB027	nan	2.0	y	NPs are simply juxtaposed, while 'X going with Y' is expressed using a  dualis pronoun (Ribka and I = 'Ribka 1.DUAL' 	Williams (forthc.) section 2.3.1	nan	nan
kula1280	GB028	nan	2.0	y		nan	nan	nan
kula1280	GB029	nan	0.0	n		nan	nan	nan
kula1280	GB030	nan	2.0	n		nan	nan	nan
kula1280	GB031	nan	3.0	y		Williams (forthc.) Table 15, 17	nan	nan
kula1280	GB032	nan	2.0	n		nan	nan	nan
kula1280	GB033	nan	0.0	n		nan	nan	nan
kula1280	GB034	nan	2.0	n		nan	nan	nan
kula1280	GB035	nan	3.0	n		nan	nan	nan
kula1280	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
kula1280	GB037	nan	2.0	n		nan	nan	nan
kula1280	GB038	nan	2.0	n		nan	nan	nan
kula1280	GB039	nan	2.0	n		nan	nan	nan
kula1280	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
kula1280	GB041	nan	2.0	n		nan	nan	nan
kula1280	GB042	nan	2.0	n		nan	nan	nan
kula1280	GB043	nan	2.0	n		nan	nan	nan
kula1280	GB044	nan	2.0	n		nan	nan	nan
kula1280	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
kula1280	GB046	nan	2.0	y	optional plural enclitic, =dua ‘PL’ to express both a vague plural sense (109) and an associative plural sense (110). naing follows the noun and marks associative plural	Williams (forthc) section 2.4.2.2. 	nan	nan
kula1280	GB047	nan	2.0	n		nan	nan	nan
kula1280	GB048	nan	2.0	n		nan	nan	nan
kula1280	GB049	nan	2.0	n		nan	nan	nan
kula1280	GB050	nan	1.0	n		nan	nan	nan
