Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
lama1292	GB014	Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	?	Not known		nan	3:?;2:no data;1:y;0:n	nan
lama1292	GB020	nan	3.0	n		nan	nan	nan
lama1292	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
lama1292	GB022	Are there prenominal articles?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
lama1292	GB023	Are there postnominal articles?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
lama1292	GB024	nan	4.0	2		p.7	nan	nan
lama1292	GB025	nan	5.0	2		p.7	nan	nan
lama1292	GB026	nan	2.0	n		nan	nan	nan
lama1292	GB027	nan	2.0	y	word order is different but for 'and' and 'with' the same word is used: nora (the verb -ora 'being with' taking default agreement)	nan	nan	nan
lama1292	GB028	nan	2.0	y	pronouns and person affixes	p.29	nan	nan
lama1292	GB029	nan	0.0	n		nan	nan	nan
lama1292	GB030	nan	2.0	n		nan	nan	nan
lama1292	GB031	nan	2.0	n		nan	nan	nan
lama1292	GB032	nan	3.0	y	1PL.EX and 2PL in agreement prefixes (for suffixes also in Singular)	p.29, 35	nan	nan
lama1292	GB033	nan	0.0	n	only in agreement suffixes but these occur very rarely	p.35	nan	nan
lama1292	GB034	nan	2.0	n		nan	nan	nan
lama1292	GB035	nan	3.0	n		p.52	nan	nan
lama1292	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
lama1292	GB037	nan	2.0	n		p.52	nan	nan
lama1292	GB038	nan	2.0	n		nan	nan	nan
lama1292	GB039	nan	2.0	n		nan	nan	nan
lama1292	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
lama1292	GB041	nan	2.0	n		nan	nan	nan
lama1292	GB042	nan	2.0	n		nan	nan	nan
lama1292	GB043	nan	2.0	n		nan	nan	nan
lama1292	GB044	nan	2.0	n		nan	nan	nan
lama1292	GB045	Is number marking prohibited on certain (types of) nouns?	?	Not known		nan	2:?;1:y;0:n	nan
lama1292	GB046	nan	3.0	n		nan	nan	nan
lama1292	GB047	nan	2.0	n		nan	nan	nan
lama1292	GB048	nan	2.0	n		nan	nan	nan
lama1292	GB049	nan	2.0	n		nan	nan	nan
lama1292	GB050	nan	1.0	n		nan	nan	nan
lama1292	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
lama1292	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
lama1292	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
lama1292	GB054	Is plant status a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
lama1292	GB055	Does the language only have a gender distinction in 3rd person pronouns?	?	Not known		nan	0:n	nan
lama1292	GB056	Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?	?	Not known		nan	1:y;0:n	nan
lama1292	GB057	nan	3.0	y		p.7	nan	nan
lama1292	GB058	nan	2.0	n		nan	nan	nan
lama1292	GB059	nan	3.0	n		nan	nan	nan
lama1292	GB060	nan	0.0	y		p.38	nan	nan
lama1292	GB061	nan	3.0	n		nan	nan	nan
lama1292	GB062	nan	3.0	y	suffix -n on the possessed noun (which has a preposed possessor NP) or the possessor pronoun	p.38	nan	nan
lama1292	GB063	nan	2.0	n		nan	nan	nan
lama1292	GB064	nan	2.0	y	suffix -n on the possessed noun (which has a preposed possessor NP) 	p.38	nan	nan
lama1292	GB065	nan	6.0	3		p.38	nan	nan
lama1292	GB066	nan	0.0	n		nan	nan	nan
lama1292	GB067	nan	1.0	1		nan	nan	nan
lama1292	GB068	nan	3.0	n		nan	nan	nan
lama1292	GB069	nan	3.0	n		nan	nan	nan
lama1292	GB070	nan	2.0	n		nan	nan	nan
lama1292	GB071	nan	2.0	n		nan	nan	nan
lama1292	GB072	nan	2.0	n		nan	nan	nan
lama1292	GB073	nan	2.0	n		nan	nan	nan
lama1292	GB074	nan	3.0	?	There are several words that can function as prepostions, demonstratives, absolute spatial terms, 	nan	nan	nan
lama1292	GB075	nan	2.0	n		nan	nan	nan
lama1292	GB076	nan	2.0	n		nan	nan	nan
lama1292	GB077	nan	3.0	y	oblique recipients can be introduced by ia	p.8	nan	nan
lama1292	GB078	nan	0.0	n		p.54,59	nan	nan
lama1292	GB079	nan	2.0	n		nan	nan	nan
lama1292	GB080	nan	3.0	n		nan	nan	nan
lama1292	GB081	nan	2.0	n		nan	nan	nan
lama1292	GB082	nan	2.0	n		nan	nan	nan
lama1292	GB083	nan	2.0	n		nan	nan	nan
lama1292	GB084	nan	2.0	n		nan	nan	nan
lama1292	GB085	Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	?	Not known		nan	0:n	nan
lama1292	GB086	nan	3.0	n		nan	nan	nan
lama1292	GB087	nan	2.0	n		nan	nan	nan
lama1292	GB088	nan	2.0	n		nan	nan	nan
lama1292	GB089	nan	3.0	y	There are suffixes on very few verbs. They seem to be relicts of an older marking system which is not producive anymore. 	p.35	nan	nan
lama1292	GB090	nan	2.0	y	person prefixes agreeing with the grammatical subject	p.29	nan	nan
lama1292	GB091	nan	3.0	?	There are suffixes on very few verbs. They seem to be relicts of an older marking system which is not producive anymore. I am not sure if these suffixes also appear on transitive verbs.	p.35	nan	nan
lama1292	GB092	nan	3.0	y	person prefixes agreeing with the grammatical subject	p.29	nan	nan
lama1292	GB093	nan	2.0	n		nan	nan	nan
lama1292	GB094	nan	3.0	n		nan	nan	nan
lama1292	GB095	Are variations in marking strategies of core participants based on TAM distinctions?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned
lama1292	GB096	Are variations in marking strategies of core participants based on verb classes?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned
lama1292	GB097	Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?	?	Not known		nan	4:?;3:no data;0: absent;1: present;2:n	Not mentioned
lama1292	GB098	Are variations in marking strategies of core participants based on person distinctions?	?	Not known		nan	3:y;1: present;0: absent;2:n	Not mentioned
lama1292	GB099	nan	3.0	?	the verb to eat?	p.31	nan	nan
lama1292	GB100	nan	0.0	n		nan	nan	nan
lama1292	GB101	nan	0.0	n		nan	nan	nan
lama1292	GB102	nan	0.0	n		nan	nan	nan
lama1292	GB103	nan	2.0	n		nan	nan	nan
lama1292	GB104	nan	2.0	n		nan	nan	nan
lama1292	GB105	nan	2.0	y		nan	nan	nan
lama1292	GB106	nan	3.0	y	bəli 'give'	nan	nan	nan
lama1292	GB107	nan	2.0	n		nan	nan	nan
lama1292	GB108	nan	3.0	n		nan	nan	nan
lama1292	GB109	nan	2.0	n		nan	nan	nan
lama1292	GB110	nan	2.0	n		nan	nan	nan
