Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
levu1239	GB014	nan	3.0	?	the distribution of stress is still unclear	nan	nan	nan
levu1239	GB020	nan	2.0	y	suffix -u 'DEF', could also refer to information status 'given'	nan	nan	nan
levu1239	GB021	nan	2.0	n		nan	nan	nan
levu1239	GB022	nan	2.0	n		nan	nan	nan
levu1239	GB023	nan	2.0	y		nan	nan	nan
levu1239	GB024	nan	4.0	2		nan	nan	nan
levu1239	GB025	nan	5.0	2		nan	nan	nan
levu1239	GB026	nan	2.0	n		nan	nan	nan
levu1239	GB027	nan	2.0	y	but the 'and'-construction is derived from the 'with'-construction	nan	nan	nan
levu1239	GB028	nan	2.0	y		nan	nan	nan
levu1239	GB029	nan	0.0	n		nan	nan	nan
levu1239	GB030	nan	2.0	n		nan	nan	nan
levu1239	GB031	nan	2.0	n		nan	nan	nan
levu1239	GB032	nan	3.0	y	1EX and 2PL usually have the same form for verbal affixes.	nan	nan	nan
levu1239	GB033	nan	0.0	n		nan	nan	nan
levu1239	GB034	nan	2.0	n		nan	nan	nan
levu1239	GB035	nan	3.0	n		nan	nan	nan
levu1239	GB036	Is elevation morphologically marked in demonstratives?	?	Not known		nan	4:?;2:y;1: present;0: absent;3:n	Not mentioned
levu1239	GB037	nan	2.0	n		nan	nan	nan
levu1239	GB038	nan	2.0	n		nan	nan	nan
levu1239	GB039	nan	2.0	n		nan	nan	nan
levu1239	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
levu1239	GB041	nan	2.0	n		nan	nan	nan
levu1239	GB042	nan	2.0	n		nan	nan	nan
levu1239	GB043	nan	2.0	n		nan	nan	nan
levu1239	GB044	nan	3.0	y		nan	nan	nan
levu1239	GB045	nan	1.0	y	to be defined further	nan	nan	nan
levu1239	GB046	nan	2.0	y	"Clan names with plural suffix, ex: Ata Wuwur-a 'person CLANNAME-PL' ""the Wuwur people"""	nan	nan	nan
levu1239	GB047	nan	2.0	n	There are nominalization strategies through affixes (b-, -n-, N-) which are more general, similar to the use of Indonesian yang as nominalizer. But it is unclear how productive thery are.	nan	nan	nan
levu1239	GB048	nan	2.0	n	There are nominalization strategies through affixes (b-, -n-, N-) which are more general, similar to the use of Indonesian yang as nominalizer. But it is unclear how productive thery are.	nan	nan	nan
levu1239	GB049	nan	2.0	n	There are nominalization strategies through affixes (b-, -n-, N-) which are more general, similar to the use of Indonesian yang as nominalizer. But it is unclear how productive thery are.	nan	nan	nan
levu1239	GB050	nan	1.0	n		nan	nan	nan
levu1239	GB051	Is sex a relevant category in any noun class/gender system?	?	Not known		nan	1: present;0: absent;2:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
levu1239	GB052	Is shape a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
levu1239	GB053	Is animacy (without reference to sex) a relevant category in any noun class/gender system?	?	Not known		nan	2:y;1: present;0: absent;3:n	Not mentioned, Nouns have semantic classification but the markers are not morphologically bound and are flexible, There is extensive classification but only to parts of the lexicon
