Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
maka1316	GB014	nan	1.0	y		Huber To appear, section 2.5	nan	nan
maka1316	GB020	nan	2.0	y	The article =ee	nan	nan	nan
maka1316	GB021	nan	2.0	n		nan	nan	nan
maka1316	GB022	nan	2.0	n		nan	nan	nan
maka1316	GB023	nan	2.0	y		nan	nan	nan
maka1316	GB024	nan	4.0	2		nan	nan	nan
maka1316	GB025	nan	5.0	2		nan	nan	nan
maka1316	GB026	nan	2.0	n		nan	nan	nan
maka1316	GB027	nan	3.0	n	to and i are used to coordinate NPs as well as sentences, guba 'with'	nan	nan	nan
maka1316	GB028	nan	2.0	y		nan	nan	nan
maka1316	GB029	nan	0.0	n		nan	nan	nan
maka1316	GB030	nan	2.0	n		nan	nan	nan
maka1316	GB031	nan	2.0	n		nan	nan	nan
maka1316	GB032	nan	2.0	n		nan	nan	nan
maka1316	GB033	nan	0.0	n		nan	nan	nan
maka1316	GB034	nan	2.0	n		nan	nan	nan
maka1316	GB035	nan	2.0	y		nan	nan	nan
maka1316	GB036	nan	2.0	y		nan	nan	nan
maka1316	GB037	nan	2.0	n		nan	nan	nan
maka1316	GB038	nan	2.0	n		nan	nan	nan
maka1316	GB039	nan	2.0	n		nan	nan	nan
maka1316	GB040	Are there declensions (partly) determined by gender of the noun?	?	Not known		nan	0:n	nan
maka1316	GB041	nan	2.0	n		nan	nan	nan
maka1316	GB042	nan	2.0	n		nan	nan	nan
maka1316	GB043	nan	2.0	n		nan	nan	nan
maka1316	GB044	nan	3.0	y		nan	nan	nan
maka1316	GB045	nan	0.0	n		nan	nan	nan
maka1316	GB046	nan	3.0	n	in Makasae the  same plural marker is used for additive and associative plural	Huber to appear	nan	nan
maka1316	GB047	nan	2.0	n		nan	nan	nan
maka1316	GB048	nan	3.0	y	The suffix -door borrowed from Portuguese; and some other native suffixes	Huber To appear	nan	nan
maka1316	GB049	nan	2.0	n		nan	nan	nan
