Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
tetu1245	GB014	Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	1.0	y	long vowels attract stress (but closed syllables do not)	nan	2:no data;3:?;1:y;0:n	nan
tetu1245	GB020	Are there definite or specific articles?	2.0	y		nan	1: present;2:y;3:n;0: absent	Not mentioned, Form same as demonstratives, Form same as pronoun, Definiteness marking is done by an element with another function such as numeral classifiers, Definiteness marking is very restricted
tetu1245	GB021	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	2.0	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, It exists but it is not obligatory, Same as numeral 'one'
tetu1245	GB022	Are there prenominal articles?	2.0	n		nan	3:n/a;1: present;2:n;0: absent	Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix
tetu1245	GB023	Are there postnominal articles?	2.0	y		nan	4:n/a;1: present;2:y;3:n;0: absent	Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix
tetu1245	GB024	What is the order of numeral and noun in the NP?	4.0	2		nan	1: Num-N;3: both.;2: N-Num;4:2	Not mentioned, Mostly numeral-noun with a few exceptions, Mostly noun-numeral with a few exceptions, Either order occurs with any numeral
tetu1245	GB025	What is the order of demonstrative and noun in the NP?	5.0	2		nan	3: both.;1: Dem-N;4:3;5:2;2: N-Dem	Not mentioned, Different demonstratives take different orders, There is free variation, Demonstrative construction has a form both before and after the noun, Demonstrative are treated as suffixes, Demonstrative are treated as prefixes
tetu1245	GB026	Are there 'discontinuous noun phrases'?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned
tetu1245	GB027	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	3.0	n	nó coordinates NPs and clauses	p. 301ff	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
tetu1245	GB028	Is there an inclusive/exclusive distinction?	2.0	y		p. 111	1: present;2:y;0: absent	Not mentioned
tetu1245	GB029	Is there a minimal-augmented system?	0.0	n		nan	0:n	nan
tetu1245	GB030	Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned
tetu1245	GB031	Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	2.0	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned
tetu1245	GB032	Are 1st and 2nd persons conflated in any context?	2.0	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, Same pronoun form covering both first and second person in some context, Person is marked on the verb and there is a context where first and second person are the same
tetu1245	GB033	Are 2nd and 3rd persons conflated in non-singular numbers?	0.0	n		nan	0:n	nan
tetu1245	GB034	Are person categories neutralized under some conditions?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned, Under negation, In a certain TAM context, Unclear whether the verb form counts as finite
tetu1245	GB035	Is there an opposition between three or more distance terms in the demonstrative system?	3.0	n		nan	4:?;1: present;2:y;3:n;0: absent	Not mentioned, The distinction is distance from speaker versus hearer
tetu1245	GB036	Is elevation morphologically marked in demonstratives?	5.0	n/a		nan	4:?;0: absent;5:n/a;1: present;2:y;3:n	Not mentioned
tetu1245	GB037	Is the opposition visible-non-visible marked on demonstratives?	2.0	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned
tetu1245	GB038	Are there demonstrative classifiers?	2.0	n		nan	3:?;1: present;2:n;0: absent	Not mentioned, The demonstrative classifier system is the same as another classifier system, Demonstratives agree with what is treated as noun classes
tetu1245	GB039	Are there declensions (partly) determined by number of the noun?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned, There are different forms for marking number depending on the noun class, There are different forms for marking number which seem to be phonologically conditioned, The markers are adjacentbut not treated as bound
tetu1245	GB040	Are there declensions (partly) determined by gender of the noun?	1.0	n/a		nan	1:n/a;0:n	nan
tetu1245	GB041	Are there nouns which are suppletive for number?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned
tetu1245	GB042	Can singular number be marked on the noun itself?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
tetu1245	GB043	Can dual number be marked on the noun itself?	2.0	n		nan	1: present;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
tetu1245	GB044	Can plural number be marked on the noun itself?	2.0	n		nan	1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound
tetu1245	GB045	Is number marking prohibited on certain (types of) nouns?	3.0	n/a		nan	3:n/a;2:?;1:y;0:n	nan
tetu1245	GB046	Are there associative plurals?	3.0	n		nan	5:?;0: absent;4:no data;1: present;2:y;3:n	Not mentioned
tetu1245	GB047	Is there a productive morphologically marked Action/state nominalization (arrive/arrival)?	2.0	n		nan	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound, The marker is also a noun
tetu1245	GB048	Is there a productive morphologically marked Agentive nominalization (sing-er)?	3.0	y	the  prefixes mak- and  ma- derive 'actor' nominalizations	p. 71-72	4:?;1: present;3:y;2:n;0: absent	Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound, The marker means 'person' or similar
