GramBank ID	Hedvigs thematic order	Feature	Possible Values	Clarifying Comments	OLD DO NOT USE Draft of clarifying comments to outsiders (before Jeremy, Hannah and Hedvigs draft)	Feature patron	Suggested standardised comments	Suggested standardised comments in dropdown menu form	progress on new description	Feature question in French	Relevant unit(s)	Function	Formal means	Unnamed: 14	Dependencies	Legacy status	GramBank-status	Work in progress comment	Jeremy - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (add complement?)	Hedvig - Estimated action commentary	Wordhood issues	NTS or GramBank?	dependencies in the grambank features	Inspired by WALS	di garbo	have been dealt with during homework1 (Jeremy, Hanna, Hedvig)	Africa-spec	Complementing F1-F160	other complements	Very hard to deny	Prone to misunderstandings among researchers	Requires extensive data on the language	Design (just from Hedvigs memory)	"Relevant for Nick and ""Parabank"""	Last edited	Is there a typological survey that already covers this feature somehow?	Previous comments	Old comments	Hedvig's meta-comment (mostly to herself)	Harald's clarification and/or reformulation	Old feature number	Old feature	db_Object	db_Domain
GB014		Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	2:no data;3:?;1:y;0:n																																										Is there weight-sensitive suprasegmental prominence, suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?	{'1': <DomainElement 'GB014-1'>, '0': <DomainElement 'GB014-0'>, '2': <DomainElement 'GB014-2'>, '3': <DomainElement 'GB014-3'>, '?': <DomainElement 'GB014-?'>}
GB020	Hedvigs_thematic_order0113	Are there definite or specific articles?	1: present;2:y;3:n;0: absent	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.  Formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.  Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives. See discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic."	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both an non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.  Formal expression is irrelevant, articles can be free, bound, or marked by suprasegmental markers such as tone.  Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific article they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain context that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases it is necessary to investigate whether the marker can occur independently or not, if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, see discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic."	Jeremy	Not mentioned, Form same as demonstratives, Form same as pronoun, Definiteness marking is done by an element with another function such as numeral classifiers, Definiteness marking is very restricted		in progress	Existe-t-il des articles définis ou spécifiques?	article	definiteness	phonologically independent item, affixation and cliticization, declension		(22:1 v 23:1 v 172:1 v 186:1) -> (20:1 v 194:1)	Sahul	keepers			keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 37					2.1.01	Are there definite or specific articles?	Are there definite or specific articles?	{'1': <DomainElement 'GB020-1'>, '0': <DomainElement 'GB020-0'>, '2': <DomainElement 'GB020-2'>, '3': <DomainElement 'GB020-3'>, '?': <DomainElement 'GB020-?'>}
GB021	Hedvigs_thematic_order0115	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	3:n/a;1: present;2:n;0: absent	In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1).	In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1).		Not mentioned, It exists but it is not obligatory, Same as numeral 'one'		in progress	Un NP indéfini est-il obligatoirement accompagné par un article indéfini (ou non spécifique)?	article, NP	definiteness	phonologically independent item, affixation and cliticization, declension		194:0 -> 21:na	Sahul	keepers			keep identical copy				NTS								Yes	Yes	Yes	Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				Disregard if only on personal names	If only on personal names, disregard	Can be hard to find definite statement.		2.1.02a	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	{'1': <DomainElement 'GB021-1'>, '0': <DomainElement 'GB021-0'>, '2': <DomainElement 'GB021-2'>, '?': <DomainElement 'GB021-?'>}
GB022	Hedvigs_thematic_order0116	Are there prenominal articles?	3:n/a;1: present;2:n;0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.		Not mentioned, The definite article is prenominal, The indefinite article is prenominal, The definite article is a prefix, The indefinite article is a prefix		in progress	Existe-t-il des articles prénominaux?	article, NP	definiteness	phonologically independent item, affixation and cliticization, word order, declension		(172:1 v 186:1 v 20:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)	Sahul	keepers			keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								2.1.03a	Are there prenominal articles?	Are there prenominal articles?	{'1': <DomainElement 'GB022-1'>, '0': <DomainElement 'GB022-0'>, '2': <DomainElement 'GB022-2'>, '?': <DomainElement 'GB022-?'>}
GB023	Hedvigs_thematic_order0117	Are there postnominal articles?	4:n/a;1: present;2:y;3:n;0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.		Not mentioned, The definite article is postnominal, The indefinite article is postnominal, The definite article is a suffix, The indefinite article is a suffix		in progress	Existe-t-il des articles postnominaux?	article, NP	definiteness	phonologically independent item, affixation and cliticization, word order, declension		(172:1 v 186:1 v 20:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)	Sahul	keepers			keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								2.1.03b	Are there postnominal articles?	Are there postnominal articles?	{'1': <DomainElement 'GB023-1'>, '0': <DomainElement 'GB023-0'>, '2': <DomainElement 'GB023-2'>, '3': <DomainElement 'GB023-3'>, '?': <DomainElement 'GB023-?'>}
GB024	Hedvigs_thematic_order0134	What is the order of numeral and noun in the NP?	1: Num-N;3: both.;2: N-Num;4:2	What is the pragmatically unmarked order of the cardinal numeral and the noun?	What is the pragmatically unmarked order of the cardinal numeral and the noun?		Not mentioned, Mostly numeral-noun with a few exceptions, Mostly noun-numeral with a few exceptions, Either order occurs with any numeral		in progress	Quel est l’ordre du numéral et du nom dans le NP?	numeral, NP	quantification	word order		24	Sahul	keepers			replace with better formulation and definition				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 89					see 2.1.05a and 2.1.05b		What is the order of numeral and noun in the NP?	{'1': <DomainElement 'GB024-1'>, '3': <DomainElement 'GB024-3'>, '2': <DomainElement 'GB024-2'>, '?': <DomainElement 'GB024-?'>}
GB025	Hedvigs_thematic_order0120	What is the order of demonstrative and noun in the NP?	3: both.;1: Dem-N;4:3;5:2;2: N-Dem	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider pragmatically marked constructions such as focus.	All questions concerning order of elements aim to capture the pragmatically unmarked order, i.e. focus etc. is discarded.		Not mentioned, Different demonstratives take different orders, There is free variation, Demonstrative construction has a form both before and after the noun, Demonstrative are treated as suffixes, Demonstrative are treated as prefixes		in progress	Quel est la position relative du démonstratif et du nom dans le NP?	demonstrative, NP	deixis	word order		25	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 88			"Disregard ""emphatic"" or other marked usages."		see 2.1.05c and 2.1.05d		What is the order of demonstrative and noun in the NP?	{'1': <DomainElement 'GB025-1'>, '3': <DomainElement 'GB025-3'>, '2': <DomainElement 'GB025-2'>, '?': <DomainElement 'GB025-?'>}
GB026	Hedvigs_thematic_order0128	Are there 'discontinuous noun phrases'?	1: present;2:n;0: absent	"This is a question concerns the structure of the NP. Can you, for example, say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent. > i.e. the ""Australian type"". NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here, this features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"")."	"This is a question concerns the structure of the NP. Can you, for example, say ""The man is running big"" to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent, i.e. the ""Australian type"". NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here, this feature aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"")."		Not mentioned		in progress	Existe-t-il des syntagmes nominaux discontinus?	adjective, NP	attribution	word order		26	Sahul	keepers	Probably keep, but take care that it's a tricky one to apply consistently.		delete				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00		Can an argument be expressed by multiple N/NP throughout the clause > i.e. the Australian type.	Can an argument be expressed by multiple N/NP throughout the clause > i.e. the Australian type.		"Can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent."	2.1.06	Are there 'discontinuous noun phrases'?	Are there 'discontinuous noun phrases'?	{'1': <DomainElement 'GB026-1'>, '0': <DomainElement 'GB026-0'>, '2': <DomainElement 'GB026-2'>, '?': <DomainElement 'GB026-?'>}
GB027	Hedvigs_thematic_order018	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	5:?;0: absent;4:no data;1: present;2:y;3:n	This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent).	This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent).		Not mentioned		in progress	Existe-t-il une différence entre le marquage de la NP coordonnés (‘Gérard etLouise sont allés au marché’) et celui de syntagmes comitatifs ? (‘Gérard est allé au marché avecLouise’)?	noun, NP, case marker	coordination, argument marking - oblique	affixation and cliticization, phonologically independent item, declension		27	Sahul	keepers			keep identical copy	add complenting			NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 63					2.1.07	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	{'0': <DomainElement 'GB027-0'>, '3': <DomainElement 'GB027-3'>, '5': <DomainElement 'GB027-5'>, '?': <DomainElement 'GB027-?'>, '1': <DomainElement 'GB027-1'>, '2': <DomainElement 'GB027-2'>, '4': <DomainElement 'GB027-4'>}
GB028	Hedvigs_thematic_order0170	Is there an inclusive/exclusive distinction?	1: present;2:y;0: absent	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? It could be that only inclusion is differentiated and not exclusion, exclusion does not have to be overtly marked for (1) here. This feature is not restricted to the pronominal system but includes verbal marking as well. This means that if is not in a direct dependency relation to F29.	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? It could be that only inclusion is differentiated and not exclusion, exclusion does not have to be overtly marked for (1) here. This feature is not restricted to the pronominal system but includes verbal marking as well. This means that if is not in a direct dependency relation to F29.		Not mentioned		in progress	Existe-t-il une distinction inclusive/exclusive?	pronoun, bound person form	number	paradigm, declension, bound person marking		28	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapters 39-40			In personal pronoun system (though a lang with incl/excl on verbs but not on pronouns is very unlikely)		2.2.01	Is there an inclusive/exclusive distinction?	Is there an inclusive/exclusive distinction?	{'1': <DomainElement 'GB028-1'>, '0': <DomainElement 'GB028-0'>, '2': <DomainElement 'GB028-2'>, '?': <DomainElement 'GB028-?'>}
